"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",0,0,2,6,1,1,3,0,1,1,3,5,0,1,0,2,5,1,7,1,0,1,5,2,1,1,2,1,2,4,2,3,0,1,1,1,4,1,0,0,0,1,1,2,1,1,0,2,3,2,0,1,2,0,2,0,3,1,2,2,1,2,0,0,1,2,0,1,1,1,0,0,1,0,1,0,14,16,11,20,10,14,20,13,21,7,15,13,13,12,10,16,25,10,16,6,9,12,23,14,15,18,24,10,15,23,11,10,10,10,19,13,19,9,4,6,7,12,4,5,14,7,11,3,9,10,6,9,8,7,17,8,12,4,4,8,17,6,9,9,14,6,11,14,6,7,6,7,13,11,12,3
"Aston Villa",0,1,1,2,1,1,0,0,1,1,2,0,0,1,1,0,3,0,0,0,2,0,2,1,3,2,1,0,2,3,1,3,1,0,6,2,1,2,1,3,1,0,4,1,2,1,1,0,3,5,0,0,1,0,1,8,4,3,2,1,2,2,3,1,2,1,1,2,2,1,1,3,1,1,2,2,10,7,13,17,8,19,8,9,7,9,10,10,10,15,7,9,9,7,4,11,8,16,11,10,8,7,5,10,18,10,10,11,15,8,18,12,12,5,6,3,9,13,2,8,5,4,5,6,7,8,8,7,3,5,6,4,1,4,6,10,7,4,4,2,3,5,7,6,7,8,7,5,15,6,7,2
"Chelsea",2,4,2,0,1,2,4,4,2,1,1,1,0,0,1,3,8,1,2,0,4,2,2,2,2,4,0,1,2,1,2,3,2,2,1,2,2,2,0,2,0,0,0,1,1,2,3,1,1,2,0,0,3,1,0,0,1,1,0,2,1,2,3,1,2,0,0,2,1,0,2,0,0,2,1,1,5,23,11,13,17,10,20,11,14,11,12,19,5,17,16,11,24,20,15,23,11,19,13,14,12,25,4,25,24,7,14,13,9,21,15,15,11,20,3,11,6,9,9,5,13,7,11,7,3,12,1,13,9,5,18,11,10,11,9,10,8,5,6,17,1,19,14,4,7,10,6,14,6,8,8,10
"Everton",1,3,0,2,3,3,2,1,2,2,2,1,1,1,1,2,1,2,2,1,2,0,0,2,3,0,1,3,2,1,2,2,0,0,1,0,2,1,0,1,2,2,0,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,0,0,1,3,2,2,1,0,0,2,0,0,1,0,0,0,2,16,19,12,17,30,17,16,10,17,26,16,21,14,14,8,17,9,15,17,12,7,16,10,11,22,9,11,18,11,15,9,14,10,8,17,11,23,16,7,11,5,10,19,9,11,4,8,15,10,11,9,10,5,11,5,8,9,6,6,8,7,4,13,8,5,12,5,9,5,10,5,5,10,4,13,9
"Fulham",5,2,0,3,2,1,2,1,3,2,3,1,0,0,0,2,1,0,1,1,2,1,0,3,0,0,1,2,1,3,0,1,0,0,0,2,1,3,0,3,3,0,1,2,2,0,3,2,3,3,1,0,3,1,2,4,1,2,1,1,2,1,1,0,0,2,0,2,1,1,3,1,1,4,3,0,11,14,14,23,12,7,14,17,16,8,9,18,8,8,8,16,6,7,10,22,10,14,3,13,15,7,20,7,6,9,5,8,11,7,6,18,10,8,9,11,13,14,9,3,5,8,8,5,5,13,5,7,2,7,3,6,2,13,5,5,0,6,8,5,9,4,2,5,3,3,7,5,2,13,8,6
"Liverpool",0,2,0,1,1,5,0,1,2,1,1,3,0,1,1,3,1,4,1,3,3,1,5,2,2,0,5,4,3,1,2,0,0,2,6,0,3,1,3,2,2,1,2,2,0,0,2,1,1,0,0,2,0,2,3,0,3,0,0,2,0,2,2,2,0,0,2,3,1,0,0,2,0,0,1,0,14,15,17,20,13,10,16,23,12,20,9,22,21,14,24,16,26,22,12,16,27,12,17,10,21,23,33,8,10,8,16,19,26,23,11,16,20,27,7,8,8,9,8,6,5,13,5,12,5,11,14,9,11,8,17,12,6,11,16,5,10,5,12,14,18,7,4,6,12,12,15,12,10,8,14,20
"Man City",3,2,3,1,1,2,3,2,1,0,2,5,0,2,1,2,3,1,0,4,3,2,2,0,2,1,2,1,0,4,2,1,1,2,0,1,2,2,2,2,1,1,1,1,0,1,0,0,1,0,0,0,1,3,1,0,1,3,0,0,0,0,2,3,0,0,2,0,1,0,3,1,0,0,0,3,20,11,19,15,14,21,26,21,10,18,16,21,11,15,9,16,16,17,19,13,17,16,20,15,9,7,15,20,17,19,9,10,11,16,12,21,27,12,15,5,12,11,10,12,16,13,5,8,8,8,7,6,6,11,10,10,12,9,9,9,11,7,5,4,11,12,11,11,5,4,7,10,8,9,20,5
"Man United",0,3,3,4,2,2,3,4,3,2,3,0,3,1,4,3,3,1,4,2,4,2,1,2,1,2,2,4,1,1,1,2,2,3,1,0,2,5,1,2,2,0,1,3,0,2,2,1,2,1,1,0,3,2,1,1,3,0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,1,1,1,5,12,20,18,17,8,15,12,13,15,11,16,12,15,23,10,8,15,19,16,17,14,15,6,11,13,10,13,13,17,10,16,9,15,10,10,10,16,12,7,11,9,10,4,8,9,8,7,7,7,9,10,13,5,3,6,16,10,14,9,10,4,7,8,6,8,10,8,6,7,3,9,5,5,4,9,8
"Newcastle",2,0,1,2,1,2,0,1,2,1,0,1,0,1,3,1,1,1,3,3,1,0,1,2,3,1,4,0,2,1,0,1,0,1,0,0,2,0,1,2,1,2,0,2,3,1,1,1,1,2,2,2,0,2,3,0,4,7,2,0,2,1,2,2,2,1,1,2,4,0,3,1,6,0,1,1,6,11,16,11,16,8,13,10,10,10,14,27,8,7,16,20,17,18,16,10,14,9,15,10,19,9,11,14,14,9,5,20,15,10,5,11,10,7,4,5,6,7,8,3,3,7,6,3,9,10,3,6,8,13,8,8,11,8,11,4,10,7,13,7,5,7,6,4,1,10,9,6,1,6,7,2
"Norwich",0,1,1,0,0,2,1,1,1,1,0,1,1,1,2,4,2,1,0,3,1,0,0,1,0,0,2,0,0,1,0,2,1,2,0,1,4,3,5,1,1,0,1,5,4,0,1,0,0,0,1,1,1,3,1,2,1,4,2,0,5,1,0,0,1,4,0,1,1,2,3,1,1,2,0,2,4,13,10,20,8,10,7,7,14,12,10,10,8,9,7,10,16,10,8,13,9,12,5,8,14,15,10,1,3,7,9,12,5,19,5,9,11,12,2,4,4,14,3,7,4,3,6,8,3,5,4,5,5,8,10,4,4,8,3,3,3,4,9,8,9,1,2,3,5,9,5,9,0,4,8,7
