"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"QPR",0,1,1,0,1,1,2,1,0,1,0,1,1,0,1,2,2,0,1,0,1,0,1,0,0,1,0,2,3,2,2,1,0,0,0,0,1,0,5,1,3,0,2,2,3,1,1,1,1,3,3,0,1,2,1,1,2,3,0,0,1,0,0,4,2,1,1,3,3,1,2,2,0,1,2,1,20,6,9,10,9,13,13,14,4,23,17,13,10,13,17,8,19,5,18,14,8,4,9,5,15,14,12,5,15,18,19,6,8,25,15,14,8,10,11,4,5,6,6,9,6,6,3,12,8,7,6,9,12,4,9,4,8,7,5,1,6,3,7,8,5,3,8,11,11,2,5,11,5,6,3,3
"Reading",1,2,1,0,2,2,0,3,1,0,2,2,0,3,0,0,2,0,0,1,1,3,2,2,2,1,0,1,1,0,1,0,0,1,0,4,0,2,1,4,3,1,2,2,1,3,1,0,1,3,1,4,1,3,5,1,0,0,3,2,1,2,1,2,3,3,2,1,4,2,0,2,0,2,2,4,9,7,4,8,14,8,8,15,18,7,12,16,11,10,6,12,7,6,3,3,7,7,6,5,9,5,7,12,10,5,4,8,7,14,13,20,11,17,3,5,2,1,7,6,5,9,8,3,4,10,6,7,2,5,5,1,2,2,4,7,2,2,5,4,1,6,4,1,2,3,5,6,7,13,7,7
"Southampton",2,0,2,1,4,1,2,1,1,0,1,3,2,1,0,1,0,1,3,1,1,2,0,1,2,3,2,1,0,3,2,2,1,0,0,0,1,1,3,2,3,6,1,3,2,4,2,2,1,1,0,1,1,0,1,1,3,1,0,2,0,2,2,1,4,2,0,1,1,0,1,0,3,1,1,1,9,14,15,9,12,8,13,11,11,9,11,21,17,8,8,18,13,7,8,9,11,7,14,21,15,13,11,17,15,17,13,12,15,9,16,10,15,11,6,9,8,4,4,2,6,4,6,5,5,15,10,2,4,9,7,3,7,6,4,3,11,10,7,7,7,9,7,12,8,4,11,5,4,6,10,7
"Stoke",1,0,2,1,0,2,0,2,0,0,1,1,1,2,1,0,1,0,3,3,0,0,1,2,0,2,0,0,1,0,0,1,0,2,1,1,1,1,1,0,2,1,1,0,0,4,0,1,0,1,0,1,0,0,1,0,1,3,3,4,3,2,1,1,1,1,2,0,1,3,2,0,0,1,2,1,6,7,16,4,13,10,5,8,11,8,10,12,12,11,6,1,14,4,7,10,4,11,7,9,6,13,7,10,7,13,10,6,13,11,12,11,6,7,3,4,8,3,6,5,3,6,6,3,5,6,3,5,4,0,8,2,6,8,3,5,2,4,2,10,2,2,4,5,5,2,4,4,4,7,3,3
"Sunderland",0,2,1,1,1,0,1,0,0,1,3,2,0,1,1,3,1,1,1,1,0,3,3,0,1,0,1,2,1,1,0,1,3,1,1,1,1,0,0,2,1,1,0,3,1,0,1,2,1,4,0,2,3,0,3,0,0,2,3,0,2,0,2,1,2,2,3,1,1,2,0,0,6,1,1,1,3,4,6,4,11,8,16,6,11,6,12,19,13,16,14,16,13,10,12,9,6,18,10,4,10,12,10,12,7,16,9,7,8,8,7,14,5,6,2,3,4,2,6,6,6,3,1,4,9,12,8,6,10,11,10,6,6,6,5,14,5,2,6,7,6,6,3,8,4,3,7,4,4,7,5,4
"Swansea",5,3,2,0,0,0,2,2,0,1,1,2,0,3,2,3,0,1,0,2,2,0,3,0,0,4,0,1,1,0,1,2,0,0,0,3,1,0,0,0,2,2,3,2,2,1,1,1,1,1,0,1,0,4,1,1,0,1,2,0,1,0,1,1,5,0,2,2,2,2,0,2,0,2,2,3,12,10,14,10,18,8,25,18,9,9,5,15,17,13,12,21,4,14,10,10,23,4,12,18,11,13,4,10,9,9,11,16,14,11,7,10,5,19,8,7,10,5,11,0,16,11,5,7,3,9,8,8,10,10,0,10,4,9,13,2,6,8,7,12,3,7,4,2,3,9,7,8,1,6,2,11
"Tottenham",1,1,1,3,2,3,2,2,2,0,1,2,3,2,3,1,1,0,4,2,3,0,1,1,1,2,3,2,2,0,2,2,3,2,1,2,2,1,2,1,1,1,1,2,0,4,1,1,2,5,1,1,0,2,0,0,0,1,1,0,1,1,0,1,2,1,3,1,1,2,1,2,0,2,1,0,12,18,15,22,18,10,23,23,11,13,6,6,25,14,10,8,24,21,20,18,30,16,23,12,21,16,25,11,15,12,9,19,11,14,7,13,23,23,6,10,9,11,14,6,10,16,4,10,2,4,13,7,6,6,16,14,16,14,20,8,18,7,13,9,16,5,9,6,7,10,8,7,4,6,15,19
"West Brom",3,1,2,0,1,1,3,1,1,2,2,2,4,1,0,0,0,2,2,0,1,2,2,1,0,2,2,0,2,0,1,1,1,3,2,0,0,5,0,1,0,3,0,1,2,2,2,0,1,1,2,3,1,2,0,1,1,2,2,3,2,2,1,0,1,1,1,0,3,2,1,0,3,1,4,5,15,10,14,10,9,14,13,16,8,16,7,8,11,6,14,7,19,12,12,13,17,11,25,7,4,4,17,8,12,9,17,16,8,11,17,20,8,15,10,5,8,8,4,7,8,8,4,6,4,6,6,2,11,2,10,8,6,9,10,6,9,4,3,3,7,4,6,5,11,5,4,9,11,11,5,8
"West Ham",1,0,3,0,1,2,1,4,1,0,1,1,1,0,3,2,0,1,0,2,0,1,1,1,1,1,2,1,0,3,0,1,2,2,1,0,0,4,0,3,0,0,1,1,3,1,2,0,0,1,3,1,1,3,0,2,1,1,3,1,5,3,0,2,3,0,2,1,0,1,2,0,2,0,2,2,8,7,17,9,20,17,7,9,15,6,10,16,10,9,16,9,10,6,11,14,9,22,7,8,18,13,8,10,15,14,10,6,10,17,9,9,7,21,4,6,12,4,11,10,3,8,11,1,5,11,6,3,13,6,2,5,3,8,4,13,5,4,9,7,6,7,9,8,4,4,4,11,6,3,2,12
"Wigan",0,2,2,0,1,0,2,1,2,1,1,0,3,0,0,2,1,0,1,3,0,1,2,2,2,1,3,0,2,1,1,0,0,2,3,2,1,2,2,0,2,4,2,1,2,2,1,0,2,3,2,2,3,2,2,1,2,0,4,1,3,2,2,4,0,4,1,0,1,1,2,2,2,3,4,2,12,12,9,8,18,8,10,10,17,7,14,9,19,9,9,14,12,13,10,9,7,15,20,11,5,13,14,15,13,13,16,8,18,6,13,14,10,12,4,8,5,4,9,3,6,7,13,4,6,3,11,4,4,9,6,5,6,6,3,6,11,6,3,10,8,11,10,6,10,6,10,4,8,11,5,6
