"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",1,6,2,4,1,2,0,2,3,1,0,2,2,2,4,2,0,3,2,3,0,3,3,2,4,2,1,0,2,0,3,1,3,1,1,1,1,2,1,0,1,1,1,3,2,1,0,0,1,0,1,3,2,1,1,1,2,0,0,0,0,1,4,0,0,0,2,0,1,1,3,2,0,3,2,2,14,26,14,23,16,24,13,18,12,20,11,12,13,12,17,15,11,10,15,18,13,19,23,19,13,17,9,14,18,19,16,12,13,17,9,14,24,12,7,16,9,14,7,12,5,13,8,13,8,8,8,7,10,9,6,8,9,11,8,13,15,10,10,8,4,7,11,11,7,6,9,7,2,5,15,6
"Aston Villa",3,0,1,1,1,2,1,0,0,0,1,3,2,0,2,0,2,1,0,3,0,1,1,2,1,2,1,4,2,0,2,1,2,1,1,1,2,1,0,6,0,2,1,1,2,0,1,0,1,2,2,2,4,3,1,2,4,3,1,1,0,1,3,2,1,1,3,1,2,0,1,1,2,1,1,0,23,3,12,10,13,10,13,11,11,7,15,19,12,16,6,5,6,26,9,16,8,13,10,11,9,10,7,17,10,11,7,13,21,7,11,10,8,10,11,1,6,6,6,8,4,5,7,3,8,12,6,11,4,2,3,15,4,10,2,3,8,10,5,5,4,10,6,5,5,7,11,2,6,7,5,8
"Birmingham",2,2,2,0,1,0,0,1,2,0,2,2,0,1,1,1,0,1,0,2,1,0,2,1,1,0,1,1,1,2,1,2,1,0,1,1,0,1,2,1,2,0,3,0,2,2,0,0,2,3,0,0,1,1,1,1,3,1,1,5,2,0,0,2,3,1,2,1,1,0,3,5,1,2,2,2,13,10,9,15,6,10,6,6,17,10,8,14,5,1,7,13,3,8,2,11,14,6,14,9,10,11,9,5,7,9,6,10,6,10,8,5,7,7,7,7,5,3,3,4,3,4,8,6,5,10,3,1,3,5,0,3,1,7,4,1,7,3,4,5,4,3,4,6,5,4,3,6,1,2,2,3
"Blackburn",1,1,1,1,1,2,0,0,1,1,2,2,2,2,1,3,1,1,0,3,0,3,0,2,0,3,0,1,2,2,0,1,0,0,1,1,1,3,0,2,2,1,1,1,1,0,2,2,1,1,4,0,7,0,2,1,2,1,3,1,2,0,1,4,0,4,3,2,0,1,2,1,0,1,1,2,7,7,15,4,9,13,7,9,4,13,10,7,12,14,3,10,16,13,12,6,11,10,3,17,17,9,4,5,12,24,7,15,4,12,17,8,6,13,2,2,7,2,5,8,4,3,2,6,3,5,8,5,2,7,11,5,8,4,3,4,2,12,9,5,0,2,9,7,2,5,2,6,8,4,2,10
"Blackpool",4,0,2,2,0,1,2,2,0,2,2,2,0,2,2,1,2,0,1,2,2,1,2,1,3,1,3,0,1,2,0,1,1,1,0,1,4,2,0,6,2,0,4,2,1,3,2,1,2,3,0,1,2,0,0,1,2,1,3,2,3,3,5,1,1,4,3,2,3,3,3,1,0,1,3,4,9,3,14,7,11,11,11,16,14,21,11,12,16,13,16,10,9,8,19,13,9,13,6,13,11,14,8,2,14,8,10,12,14,18,11,13,12,14,7,1,5,4,4,8,7,5,6,8,8,6,5,9,10,5,4,6,13,9,2,7,4,8,7,5,4,1,5,6,6,6,9,7,6,7,8,7
"Bolton",0,3,2,1,1,2,1,2,1,0,4,1,3,5,2,0,2,0,2,0,1,1,0,0,1,1,2,1,3,0,1,3,2,0,0,1,3,0,0,1,2,4,1,2,1,1,1,1,2,1,2,1,2,1,1,1,0,1,2,1,2,4,0,2,0,1,2,1,2,0,1,3,1,2,4,2,13,12,11,7,13,15,10,11,9,14,18,10,13,18,24,7,12,12,12,6,10,14,13,11,13,8,11,17,15,11,19,23,11,14,11,17,17,16,9,8,8,6,7,9,5,6,2,10,8,5,7,9,14,2,7,8,8,2,4,7,6,8,8,3,5,10,9,6,12,12,10,6,3,9,9,8
"Chelsea",6,6,2,3,4,0,2,0,2,2,0,1,0,0,1,1,1,1,1,3,0,2,4,4,0,0,2,3,2,1,1,3,3,3,2,1,2,0,0,0,0,1,0,1,0,0,0,1,2,0,3,1,1,1,1,3,0,3,1,0,0,2,1,0,1,1,0,1,0,1,1,0,1,2,2,1,18,10,15,17,27,15,11,13,17,16,11,19,14,24,17,12,13,10,12,15,17,27,14,21,14,23,17,18,16,20,21,19,17,16,16,19,15,19,13,8,6,9,15,4,6,6,10,9,7,10,7,9,13,5,7,4,7,10,8,11,11,14,4,9,11,11,11,10,13,11,7,11,10,11,7,9
"Everton",0,1,0,3,0,0,2,2,1,1,2,1,1,2,1,1,0,2,1,0,2,2,2,1,5,0,2,2,1,2,2,3,2,0,1,2,0,1,1,1,1,3,1,0,0,0,1,0,2,1,2,2,4,1,0,1,1,2,1,2,2,2,3,2,0,1,1,1,2,0,0,1,1,1,1,0,17,14,15,23,6,15,11,9,7,18,20,23,14,10,12,16,16,4,13,15,19,10,11,4,23,9,17,13,17,16,14,9,17,5,3,10,23,11,12,6,9,14,3,7,6,6,3,10,14,12,7,8,4,7,8,3,5,10,12,5,6,4,16,4,9,8,11,12,7,6,7,3,3,6,10,3
"Fulham",0,2,2,2,1,0,1,1,1,2,1,0,0,1,1,1,0,1,2,0,3,1,2,0,1,2,0,1,3,1,3,0,1,3,3,2,2,2,0,2,2,1,1,0,1,2,2,0,1,1,0,4,1,2,0,3,0,1,0,1,0,1,0,2,0,1,2,2,0,2,1,0,0,5,0,2,12,16,12,13,9,12,17,11,9,15,14,5,10,9,11,11,14,13,4,12,12,14,10,12,11,13,12,11,15,12,13,12,15,18,9,10,18,10,7,8,7,6,4,2,5,5,3,9,10,3,8,3,7,7,13,6,3,4,6,5,7,8,9,9,8,5,11,6,11,5,5,7,6,7,9,6
"Liverpool",1,0,1,0,2,2,1,0,2,1,2,1,0,3,1,3,1,0,2,1,1,2,3,1,2,1,1,1,3,2,1,3,1,5,3,5,0,0,1,3,0,0,3,2,2,2,1,0,0,1,2,0,2,0,3,1,1,3,2,2,0,0,0,0,1,3,1,0,2,0,1,0,0,2,2,1,7,13,11,14,7,13,19,15,17,10,9,8,10,19,12,12,16,9,16,13,10,19,15,11,13,7,13,12,17,10,13,15,9,17,9,16,10,9,4,7,7,8,1,5,10,9,10,4,7,3,6,11,8,7,7,5,7,9,6,14,10,7,9,4,5,8,10,4,9,7,5,13,5,11,2,4
