"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man City",0,3,0,1,2,1,2,3,0,1,2,0,0,4,1,1,3,1,3,4,1,0,4,0,2,3,1,1,1,0,5,0,1,2,1,1,3,2,0,0,1,1,0,0,1,2,3,2,0,0,0,1,1,0,1,2,1,0,0,0,3,1,2,0,2,1,0,2,0,3,0,1,2,0,0,0,11,8,9,20,11,8,9,13,9,17,9,6,21,11,9,19,12,25,9,11,15,5,15,24,12,13,13,14,7,5,14,13,10,19,12,7,16,16,7,3,7,14,5,6,5,8,6,9,5,4,11,8,4,10,7,15,6,8,4,0,12,14,9,9,8,4,3,2,12,4,5,12,7,4,9,10
"Man United",3,2,3,3,3,2,0,2,2,2,2,0,2,2,7,1,2,1,2,2,0,5,3,3,1,2,4,1,1,1,4,2,0,1,0,2,1,4,0,2,0,3,2,2,0,2,1,0,1,0,2,0,1,0,0,1,1,1,0,0,2,1,2,1,0,2,3,0,2,0,0,0,1,1,1,2,18,14,18,13,16,12,10,16,12,18,14,7,16,17,15,14,14,10,5,18,7,23,17,18,14,11,14,12,12,14,18,16,18,21,11,13,9,18,10,7,11,8,7,6,4,9,5,10,10,4,10,12,11,10,10,4,3,7,4,9,13,11,7,6,9,7,7,8,9,12,8,12,7,8,4,11
"Newcastle",0,6,1,0,1,1,1,2,2,5,1,1,0,1,1,1,3,1,0,1,5,1,1,0,4,0,2,1,1,0,4,0,0,1,0,2,2,3,3,0,1,2,0,2,2,2,1,1,0,2,0,5,1,3,1,3,2,0,0,1,1,1,4,0,0,1,2,4,1,1,0,1,3,1,2,3,7,20,11,16,9,11,8,9,13,16,7,9,13,6,5,11,8,20,12,13,11,9,13,4,16,12,10,13,10,14,17,6,12,9,7,19,13,15,3,14,6,13,4,7,4,4,8,12,2,3,7,1,3,7,5,10,8,5,7,2,6,3,8,6,7,6,8,9,13,4,5,6,3,14,9,10
"Stoke",1,1,0,2,1,2,1,1,1,0,0,3,2,3,1,2,0,2,0,2,1,2,0,0,3,0,0,1,0,4,1,2,1,3,0,3,0,0,2,2,2,1,1,1,0,2,2,1,2,2,0,0,1,2,1,0,2,0,2,0,2,2,2,1,1,1,3,0,1,3,1,0,0,1,3,1,10,15,9,20,9,8,18,8,6,9,11,19,14,6,16,11,16,11,14,7,5,12,9,6,18,15,7,6,7,8,13,10,4,17,9,12,4,11,6,10,3,12,3,2,11,3,2,1,5,12,7,4,9,7,5,9,8,3,1,5,1,1,9,5,4,3,5,6,6,5,3,8,6,7,2,5
"Sunderland",2,0,1,1,1,2,0,0,1,1,2,1,3,2,2,1,0,1,0,0,3,1,1,2,2,2,1,0,0,0,0,2,0,4,0,2,1,3,2,1,0,1,1,2,0,0,0,5,0,1,0,2,3,0,0,0,2,2,0,0,1,1,4,3,2,2,0,2,5,3,2,2,3,1,3,0,6,10,12,4,16,10,14,16,13,11,14,8,19,13,15,17,11,13,6,32,13,11,10,11,4,11,16,12,6,3,8,7,15,11,11,10,14,17,2,4,4,2,5,1,8,7,6,5,7,4,9,8,9,12,2,5,2,16,7,5,7,6,3,7,10,7,3,1,4,4,7,7,7,6,9,12
"Tottenham",0,2,0,1,3,0,2,2,1,0,2,1,4,3,2,1,1,2,2,1,1,0,1,1,2,2,1,3,0,0,3,3,2,1,1,0,2,2,0,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,1,1,0,0,2,0,1,0,1,1,3,3,0,0,2,3,2,2,1,1,0,1,22,7,12,16,20,17,19,14,13,11,11,20,20,10,20,10,10,13,13,13,13,16,14,6,13,11,25,15,26,10,9,16,19,12,20,14,8,22,18,6,7,9,11,11,10,6,8,5,6,12,12,6,13,5,3,8,8,9,5,6,9,5,7,5,10,10,14,6,8,9,9,7,11,7,4,16
"West Brom",0,1,0,1,3,3,1,2,2,1,0,2,0,0,4,3,1,0,1,1,0,3,0,2,0,3,1,1,3,2,2,3,1,2,2,1,1,3,6,0,1,1,1,2,1,2,1,2,2,2,1,3,1,1,2,2,3,2,3,2,2,2,3,3,1,1,1,2,1,2,3,2,1,3,0,3,10,11,14,15,16,7,17,7,14,12,13,14,12,15,7,20,11,15,21,17,12,18,24,21,17,15,19,16,9,4,17,12,12,10,8,14,14,13,4,5,5,8,10,5,9,2,7,5,7,6,6,8,3,12,4,9,11,8,4,11,20,10,9,11,11,11,5,3,14,8,6,4,4,6,9,7
"West Ham",0,1,0,1,1,1,1,1,1,0,2,2,0,0,3,0,1,1,3,1,2,0,0,2,3,0,3,3,3,0,2,0,1,0,1,1,2,0,3,3,3,3,1,0,1,1,2,1,2,2,0,3,1,1,3,1,1,1,0,5,3,2,1,1,3,1,0,0,4,3,2,3,2,1,3,3,12,17,7,13,13,22,12,9,5,6,16,8,17,6,15,8,13,11,10,11,11,13,7,13,12,16,18,17,15,11,6,14,12,12,7,24,13,17,2,10,2,7,6,15,5,7,1,3,8,5,4,1,9,2,3,3,7,2,6,6,6,5,10,9,11,11,10,5,2,8,7,7,4,15,10,12
"Wigan",0,0,1,1,0,0,2,2,1,0,1,1,1,0,1,2,0,2,2,0,1,1,0,1,2,4,1,0,0,2,0,0,3,2,1,1,3,1,4,6,0,1,2,0,0,2,1,2,2,1,0,2,3,2,0,1,2,1,1,1,3,2,2,3,1,4,1,1,0,1,1,4,1,1,2,0,11,17,13,17,9,17,24,8,15,8,16,10,13,10,10,15,5,13,7,9,10,8,3,19,11,11,8,10,12,16,14,11,9,11,13,7,19,11,6,12,5,4,3,10,17,4,9,3,10,8,4,4,10,8,4,8,5,4,7,5,1,8,7,7,2,4,5,13,5,7,5,7,9,4,10,9
"Wolves",2,1,1,1,1,1,0,1,0,2,1,0,2,1,3,0,1,1,1,0,1,3,0,0,2,0,1,4,3,1,1,0,1,0,1,3,3,2,1,1,1,2,3,2,2,1,2,1,2,2,3,2,2,3,0,2,0,2,0,4,3,1,1,2,1,0,3,0,4,3,1,3,1,1,1,3,13,9,5,4,5,14,2,9,12,10,8,14,10,19,14,10,14,8,7,15,3,10,11,11,6,2,6,15,13,8,13,11,12,5,7,14,10,12,7,4,2,2,2,12,0,5,9,6,6,7,6,10,8,7,9,4,3,10,2,7,4,5,5,0,2,11,4,5,9,7,3,1,2,10,6,5
