"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",2,2,1,2,3,1,0,2,2,3,1,1,1,1,2,4,2,2,2,0,3,2,5,1,2,2,2,2,3,2,4,1,0,3,0,1,0,4,1,2,1,2,0,1,2,2,0,0,2,2,0,0,3,1,2,1,1,2,0,0,0,2,1,1,0,1,0,1,1,0,0,1,1,1,0,1,14,13,24,15,9,16,10,25,15,32,12,23,17,19,15,17,7,15,21,11,14,9,13,7,17,12,17,20,19,7,16,17,12,22,23,5,28,24,6,3,6,6,3,6,0,9,5,13,4,9,5,8,6,4,3,5,7,6,6,3,8,3,7,4,4,9,9,3,10,5,1,9,9,3,8,13
"Aston Villa",1,0,2,1,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,2,4,0,1,3,1,2,3,1,1,0,0,0,1,0,3,3,2,3,2,2,0,1,1,0,1,1,1,1,0,0,1,2,5,2,2,2,1,1,0,1,3,3,0,3,2,0,6,1,7,9,11,5,6,7,6,10,15,12,12,7,18,5,16,7,10,11,14,14,12,15,9,8,11,3,13,16,14,12,4,21,10,13,11,15,9,16,2,0,4,1,2,1,1,2,6,1,4,1,7,3,7,2,4,3,3,3,1,4,2,1,4,2,3,8,8,3,2,7,3,4,4,5,4,5
"Burnley",1,0,0,0,0,0,2,1,1,0,1,2,1,1,0,1,1,0,2,3,2,2,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0,0,4,2,3,3,3,0,1,1,1,2,0,2,1,2,3,1,3,2,2,3,1,1,2,0,2,0,1,1,1,1,0,0,0,9,12,9,11,17,10,10,17,14,6,14,5,11,12,15,7,9,16,12,15,18,7,13,12,13,10,13,9,10,15,15,8,10,12,8,8,11,6,2,1,3,3,6,2,4,3,3,2,3,4,4,2,3,2,5,0,3,4,7,4,4,5,3,5,6,1,4,3,4,4,1,4,2,2,4,3
"Chelsea",3,2,6,4,1,3,2,2,1,2,2,2,0,3,1,2,2,2,1,3,2,5,1,2,1,1,1,1,3,2,1,1,0,3,1,1,0,3,1,0,3,2,1,0,0,1,1,1,1,0,0,0,2,0,0,0,1,5,0,0,1,1,0,1,0,1,2,1,0,0,0,1,0,1,3,1,11,27,12,29,6,17,5,14,9,18,15,21,24,12,26,12,15,28,7,19,9,21,3,12,21,14,12,22,8,19,9,7,7,11,17,8,12,24,3,10,8,9,2,8,3,5,4,8,5,8,6,8,8,3,6,9,1,7,5,11,2,5,7,5,3,7,3,10,1,2,3,4,7,3,3,8
"Crystal Palace",1,1,3,0,3,2,0,1,2,1,0,3,1,0,0,1,0,1,0,0,2,3,0,1,1,1,3,0,3,2,2,4,0,0,0,1,3,1,2,3,3,0,2,0,2,2,2,3,1,1,1,1,0,1,3,3,0,0,1,2,1,0,1,2,1,1,1,1,1,1,2,2,1,2,1,0,4,9,12,14,10,16,11,7,8,9,6,15,11,17,16,10,6,11,10,6,21,11,13,14,7,22,12,9,15,12,5,14,19,7,8,13,15,13,2,4,7,3,3,6,2,4,6,1,1,5,5,5,4,3,1,4,3,0,7,4,3,2,3,3,5,3,4,3,3,5,4,3,1,4,6,7
"Everton",2,2,3,2,2,1,1,3,3,0,1,2,1,1,0,3,0,0,2,0,1,0,1,0,0,2,0,0,3,2,1,1,1,3,2,0,2,0,2,2,6,0,3,1,2,0,1,0,1,1,2,1,1,1,3,1,3,2,1,0,0,0,1,2,2,2,0,1,0,1,0,0,3,2,1,1,13,8,17,11,17,11,10,15,15,17,16,14,10,13,9,13,13,16,9,9,11,17,14,6,7,18,8,10,15,8,11,12,21,9,9,22,21,9,3,2,7,4,6,5,6,6,6,3,7,4,5,5,2,5,4,5,2,3,4,4,2,1,4,3,2,5,9,3,1,8,8,7,5,4,5,1
"Hull",1,1,1,2,2,2,2,2,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,1,2,2,0,1,0,2,1,0,2,1,1,0,0,0,0,1,2,2,2,4,0,2,0,1,1,2,3,1,0,2,1,1,1,0,1,3,3,1,0,1,1,1,0,3,3,2,0,0,3,1,2,0,11,9,9,11,10,10,15,4,6,8,12,10,4,8,12,8,11,13,18,14,12,9,13,7,10,16,1,15,12,19,10,15,21,7,8,21,14,16,4,2,3,6,3,5,2,4,3,1,1,2,2,1,2,0,3,5,5,5,2,3,8,3,4,6,0,5,5,8,1,4,7,4,1,3,2,6
"Leicester",2,0,1,1,5,0,2,0,0,0,0,0,2,1,1,0,0,1,1,2,1,0,1,0,1,2,0,0,3,2,3,2,1,1,3,2,0,5,2,2,1,0,3,2,2,1,2,1,2,0,3,3,2,1,2,2,0,2,0,1,3,1,2,2,2,0,4,1,2,0,0,3,0,0,0,1,11,6,9,8,15,7,15,7,9,14,5,13,19,20,10,7,10,22,4,16,11,7,4,19,11,15,6,15,14,20,12,18,8,8,19,10,11,22,3,4,3,1,5,1,6,2,4,5,0,4,5,4,4,1,4,6,2,3,3,3,1,5,4,4,2,3,5,7,4,6,4,2,7,3,0,7
"Liverpool",2,1,3,0,1,1,2,3,0,0,1,1,1,3,0,0,2,1,4,2,1,2,2,0,3,2,2,2,1,1,1,2,0,0,2,1,1,1,1,3,0,1,3,1,1,2,0,1,2,3,0,1,0,3,2,0,1,2,0,0,0,0,2,0,1,0,0,2,4,0,0,1,1,1,3,6,12,11,17,18,11,24,19,15,17,6,12,12,16,11,15,19,27,10,21,18,21,12,21,17,16,6,11,20,16,7,13,14,22,12,25,15,18,13,5,3,8,1,5,8,7,5,4,3,4,1,3,3,2,9,10,3,11,6,4,5,7,6,7,4,5,8,5,1,2,6,5,9,8,4,3,4
"Man City",2,3,0,2,1,4,2,4,1,1,2,2,3,4,1,1,3,3,2,3,1,0,1,1,4,5,1,2,0,3,1,2,2,3,1,6,4,2,0,1,1,2,1,2,0,1,2,0,2,1,0,1,0,0,0,1,2,2,1,2,1,1,1,0,2,0,1,0,2,4,0,2,0,0,2,0,13,9,16,15,16,20,27,20,21,16,23,23,15,15,19,9,15,9,17,32,18,12,10,18,14,16,8,22,21,43,22,10,18,11,15,23,22,15,5,4,2,8,4,6,7,12,5,6,6,10,6,4,3,4,3,5,6,12,2,4,5,5,8,9,1,9,5,16,4,3,3,4,4,11,11,6
