"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man United",1,1,0,4,3,2,2,2,1,0,1,2,3,2,2,3,1,3,0,1,0,2,3,1,3,1,2,1,3,2,3,4,0,0,0,2,1,0,2,1,0,0,5,1,1,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,2,0,0,0,1,1,2,1,3,1,1,1,0,14,10,7,19,16,8,15,22,19,9,23,12,12,10,3,11,16,9,9,6,10,12,12,18,11,18,30,11,11,6,19,11,15,17,26,13,12,7,5,3,2,9,5,3,4,7,7,2,5,2,6,3,2,6,9,4,5,2,0,7,5,6,7,3,10,5,3,4,7,7,2,4,9,4,4,1
"Newcastle",0,0,3,0,2,0,2,1,2,1,2,1,0,1,2,1,0,1,3,3,0,1,3,1,1,0,1,0,0,1,0,0,1,2,0,1,1,2,2,0,3,4,2,1,2,0,1,0,0,0,1,1,1,4,1,3,2,3,2,2,0,1,1,5,0,1,3,2,1,2,3,3,3,1,2,0,12,11,18,9,25,16,9,19,8,14,8,14,7,11,9,10,15,8,13,10,11,16,12,9,5,8,14,9,12,16,10,10,11,12,12,15,22,17,0,4,4,4,7,1,4,6,2,3,3,6,1,4,3,4,7,4,6,4,5,3,5,3,1,1,5,2,4,4,1,3,5,4,3,5,8,4
"QPR",0,0,1,0,2,1,0,2,2,1,2,0,3,0,2,1,3,1,0,1,1,0,1,0,2,1,1,1,1,1,4,3,0,0,1,0,2,1,1,4,0,4,2,2,2,3,0,2,2,1,2,2,0,3,2,2,0,1,2,2,3,1,0,2,2,2,3,2,1,3,1,0,2,6,1,5,19,9,18,9,21,10,10,15,11,7,17,13,32,5,11,17,17,16,11,24,17,18,14,12,19,8,10,17,11,14,12,11,15,18,10,9,8,18,6,1,5,2,5,2,3,6,4,1,4,4,6,1,6,4,7,2,3,6,7,4,4,3,4,3,3,6,4,1,7,5,4,7,2,3,4,2
"Southampton",1,0,3,4,1,2,0,8,1,1,2,1,0,0,1,0,3,3,1,2,1,2,0,1,0,0,0,1,1,2,0,2,1,2,1,0,6,0,2,0,1,0,0,1,1,0,0,0,0,1,3,1,2,1,0,1,1,0,0,1,1,0,0,2,1,0,1,0,1,0,2,2,2,2,1,2,12,8,18,10,11,19,7,20,20,10,18,15,13,6,15,15,11,13,9,13,9,5,15,16,21,13,12,23,12,20,11,9,12,13,11,10,18,13,6,2,8,7,4,9,3,11,2,3,6,4,4,1,4,4,3,6,1,6,1,3,6,5,7,5,2,3,5,3,2,4,6,4,2,3,11,4
"Stoke",0,1,1,0,2,1,1,2,0,2,2,1,0,1,3,1,0,1,2,1,0,1,3,1,1,2,1,2,0,1,1,1,2,1,0,3,0,6,1,1,0,1,2,0,3,1,1,2,1,2,1,2,2,1,2,0,0,1,3,0,1,1,4,1,0,0,1,2,2,1,1,1,2,0,0,1,12,19,7,24,8,12,11,17,8,21,11,25,13,5,13,7,13,12,13,11,7,13,15,7,17,11,17,11,9,17,7,18,15,23,9,17,11,15,2,3,2,4,4,3,5,3,1,6,4,4,4,4,4,3,2,2,3,2,2,3,3,3,5,6,2,3,2,4,2,2,2,8,3,9,3,9
"Sunderland",2,1,0,2,0,0,3,0,0,3,1,0,0,1,0,1,1,1,0,2,0,1,2,1,0,0,0,1,0,0,1,1,1,2,2,0,0,1,2,1,1,2,0,0,1,8,2,1,1,0,0,4,0,1,0,3,0,3,1,2,0,1,2,0,2,1,4,1,0,4,1,1,0,0,0,3,7,11,16,6,14,15,8,12,11,8,10,10,12,8,7,13,16,12,15,4,5,8,8,4,16,13,5,9,12,7,16,12,15,12,10,13,7,17,2,3,6,1,6,3,3,1,3,7,3,5,3,2,1,4,3,3,3,4,1,4,3,1,5,2,3,3,2,3,4,3,5,6,3,3,3,9
"Swansea",2,1,3,2,0,0,2,1,2,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,2,1,2,0,1,3,1,0,3,2,1,2,0,1,0,0,4,1,0,2,2,0,0,1,2,1,0,3,2,0,0,4,1,1,5,0,1,2,1,0,3,1,0,1,1,2,2,0,0,4,1,5,10,15,11,5,7,11,13,7,8,11,8,18,18,11,15,13,7,11,25,19,11,6,16,10,11,8,10,10,9,9,11,10,11,16,8,13,5,4,5,8,2,2,1,5,5,3,0,5,3,4,7,2,3,3,2,4,6,3,0,1,7,3,6,2,5,3,6,4,3,6,6,4,3,9,2
"Tottenham",1,4,0,2,0,1,1,1,1,2,1,2,2,0,0,2,2,2,0,5,1,2,3,2,2,2,3,2,0,4,0,0,3,2,0,0,2,1,0,0,3,2,1,1,0,4,2,1,2,1,1,3,0,1,1,1,0,3,2,1,0,1,3,2,2,1,3,3,0,1,1,2,1,3,0,0,10,18,7,15,7,6,9,19,17,18,14,23,13,10,14,10,23,8,9,11,9,25,14,23,14,27,20,13,5,10,12,14,14,7,21,9,10,16,4,5,1,6,1,4,4,7,2,7,4,6,6,2,3,4,6,3,4,8,5,8,4,8,5,8,7,6,1,4,2,3,8,2,5,3,3,3
"West Brom",2,0,0,0,1,4,1,2,2,1,0,0,0,1,0,1,2,1,0,1,1,0,0,2,2,0,1,1,1,0,1,2,2,0,1,1,3,1,2,0,3,2,0,0,2,2,2,0,2,2,1,2,0,0,3,3,2,1,0,0,3,2,0,0,0,2,0,3,4,3,0,0,0,1,0,4,10,8,16,11,10,20,8,8,17,8,10,5,9,23,6,13,16,18,15,14,9,5,13,12,11,5,7,3,14,3,21,8,8,10,6,8,9,14,5,2,2,1,4,6,4,2,4,3,2,1,1,5,3,5,6,6,4,3,3,0,4,5,4,1,3,1,5,0,6,5,4,4,3,3,5,5
"West Ham",0,3,1,2,3,1,2,3,2,2,0,1,1,2,3,1,2,0,1,1,1,3,0,1,0,2,1,0,0,1,1,1,0,0,1,0,1,0,1,1,3,2,1,2,0,1,1,2,0,2,0,1,1,1,0,2,2,1,1,0,2,1,0,2,3,1,3,0,2,1,2,0,0,1,2,2,18,17,4,16,13,13,11,22,12,10,21,14,12,11,15,19,10,6,14,8,11,17,7,13,4,12,22,18,7,15,14,11,9,8,29,5,13,4,4,8,2,4,7,4,3,6,4,2,5,3,3,6,7,8,2,0,4,3,5,6,2,6,1,5,5,5,1,4,7,3,3,2,7,1,3,1
