"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",0,2,3,3,2,2,2,5,3,2,1,1,2,4,2,1,2,3,1,1,4,0,2,2,1,2,2,5,1,2,2,0,1,2,1,0,1,3,2,3,1,2,1,0,0,1,1,2,1,1,1,2,2,0,3,1,1,5,1,1,0,1,3,1,0,1,1,0,0,1,0,3,3,3,1,1,9,15,17,17,12,9,9,9,19,7,12,10,20,22,9,14,13,10,7,8,16,11,13,15,4,9,12,16,9,14,7,7,19,12,11,6,20,17,3,6,10,11,2,5,2,7,6,2,4,3,4,7,4,2,4,6,4,2,9,2,5,4,2,4,4,6,4,3,4,2,6,5,1,1,8,6
"Bournemouth",2,2,2,0,4,0,2,4,0,3,1,1,1,1,2,0,0,2,0,1,3,0,2,4,0,0,1,1,0,2,2,0,1,5,0,3,1,3,0,1,2,2,2,4,1,0,0,0,2,2,2,3,1,4,2,0,5,4,3,2,0,0,2,3,1,5,1,0,2,2,3,0,1,3,0,5,12,12,17,8,10,19,11,10,10,12,18,14,11,4,6,8,13,14,14,7,25,16,10,12,9,12,10,13,0,8,10,8,10,14,15,9,20,16,4,5,5,1,5,5,5,7,2,5,7,4,5,1,2,2,3,3,4,3,12,7,4,7,2,2,3,5,0,5,3,2,2,7,5,5,6,8
"Brighton",0,3,0,2,2,1,0,1,1,1,1,1,1,2,3,0,1,0,1,1,2,0,1,2,0,1,1,1,2,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,2,0,0,0,3,2,1,1,1,1,2,2,1,0,2,1,2,4,0,3,2,0,1,1,3,5,2,0,1,1,1,4,6,6,6,15,12,8,4,9,8,2,5,7,14,14,9,14,6,10,12,11,13,7,7,15,21,16,15,13,4,14,3,8,14,5,6,9,11,6,0,3,2,5,4,4,1,4,2,1,3,3,3,6,3,1,2,5,3,3,6,0,3,6,4,6,3,4,3,1,1,1,2,0,1,2,5,2
"Burnley",0,1,2,0,0,4,2,1,0,0,2,0,1,0,1,1,0,1,1,2,2,2,0,2,1,3,2,0,1,2,1,2,3,2,2,0,0,1,0,3,4,2,1,0,1,1,5,4,4,0,2,2,3,0,1,3,5,0,1,1,0,2,1,1,1,2,3,4,2,0,1,0,2,1,2,3,16,8,12,9,7,12,3,6,5,7,6,6,14,4,10,14,4,7,11,17,16,11,11,6,15,9,10,12,18,3,13,5,11,14,6,2,5,14,6,3,2,2,2,5,2,3,0,1,3,1,4,0,6,4,0,2,4,5,8,0,3,4,6,5,4,2,4,2,2,1,3,7,3,0,1,5
"Cardiff",0,0,0,2,1,0,1,0,4,1,0,2,0,2,1,1,2,1,0,1,0,0,0,1,2,2,1,0,0,2,1,0,0,2,0,0,2,2,2,0,0,3,4,5,2,1,2,4,1,1,1,1,3,0,3,5,0,0,3,0,3,2,0,1,5,3,2,0,2,2,2,0,2,1,3,0,10,12,14,14,6,2,19,8,22,2,11,20,7,17,9,13,10,9,9,12,6,3,9,19,12,6,15,6,12,16,8,4,14,10,7,13,18,13,1,1,4,3,2,2,5,6,5,1,2,6,1,3,5,4,3,3,4,3,3,0,1,2,5,3,6,0,4,7,3,1,2,3,2,8,8,4
"Chelsea",3,3,2,2,4,0,1,3,2,4,3,0,1,2,1,2,2,0,2,1,0,2,0,0,5,0,2,2,1,0,2,3,2,0,2,1,3,0,0,2,1,0,1,0,1,0,2,0,1,0,3,0,2,0,1,1,1,0,0,1,2,4,0,6,0,1,1,2,1,0,0,2,2,1,0,0,13,24,15,24,18,17,10,21,21,24,15,15,13,16,17,8,10,17,10,12,17,10,13,11,23,12,11,20,22,16,21,17,16,6,22,16,19,14,4,11,3,6,7,6,4,6,6,8,6,4,2,9,3,5,3,5,4,4,6,6,1,7,7,4,1,7,6,5,3,4,7,3,9,3,9,4
"Crystal Palace",2,0,1,0,1,0,1,0,0,2,1,0,0,2,1,2,1,3,0,0,2,1,3,1,2,1,4,1,3,1,2,0,1,1,3,0,3,5,0,2,2,2,0,0,2,1,2,2,3,1,0,0,3,3,0,2,0,1,0,2,4,1,0,1,1,3,1,2,0,2,0,3,2,0,2,3,10,8,9,20,7,16,10,11,7,16,7,11,13,29,18,8,8,5,31,4,17,15,9,15,17,25,7,17,10,15,19,5,3,7,16,8,21,17,9,2,3,6,2,4,2,4,3,3,2,4,2,9,5,4,1,3,5,0,4,6,3,3,6,5,5,2,4,3,5,1,1,3,7,0,7,8
"Everton",2,2,2,1,1,0,3,2,2,1,3,0,1,0,1,2,1,2,5,0,0,2,1,1,1,0,0,3,0,2,2,2,1,0,4,0,2,2,2,1,2,1,3,2,0,1,0,2,1,0,0,1,1,2,3,6,1,1,1,0,2,0,3,2,1,0,0,3,0,0,0,2,0,0,0,2,6,13,11,11,16,9,19,17,20,14,14,6,16,9,19,12,9,10,13,13,17,15,7,10,13,4,9,12,7,7,15,17,23,8,15,22,20,17,5,7,3,1,4,6,6,8,4,6,3,1,8,3,3,5,2,3,6,4,2,3,2,5,4,1,4,4,3,3,8,9,6,1,8,3,6,9
"Fulham",0,1,4,2,0,1,0,1,2,0,0,0,3,0,1,1,0,0,1,1,1,1,1,4,0,0,1,0,1,1,1,0,1,2,1,1,0,0,2,3,2,2,3,1,3,5,4,3,1,2,2,2,1,4,2,0,1,0,4,2,2,2,2,3,3,2,2,3,2,2,4,0,0,0,1,4,15,10,25,10,9,15,6,21,9,11,7,8,10,9,25,10,16,4,11,14,9,12,12,24,8,15,8,14,12,6,7,5,17,12,17,8,6,16,6,3,12,5,3,3,0,4,4,1,1,3,5,4,7,4,4,2,9,5,4,4,4,7,0,3,5,4,5,3,2,0,7,5,5,2,2,2
"Huddersfield",0,1,0,1,0,1,0,1,0,0,1,1,2,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,1,0,1,1,3,6,0,1,1,3,2,1,1,3,0,1,0,2,2,1,1,3,3,1,2,0,3,1,5,2,2,0,1,2,4,2,4,4,2,5,1,1,6,5,5,9,15,9,9,19,13,13,10,15,14,7,23,6,15,16,10,9,9,14,5,10,5,15,3,15,6,8,15,15,10,7,13,5,7,10,1,1,1,6,2,2,5,2,1,7,2,7,6,2,6,0,5,5,2,5,2,2,2,2,2,6,1,3,4,1,5,5,4,1,3,1,3,3
