"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",1,2,1,2,2,3,1,1,0,2,1,0,2,2,1,3,0,0,1,1,2,1,1,2,0,4,3,1,0,1,2,4,2,1,1,2,0,3,0,1,3,2,2,2,1,0,1,2,1,2,2,2,2,1,3,0,1,2,0,1,1,2,0,0,2,0,3,2,0,0,0,1,2,1,1,2,8,16,9,26,10,21,10,12,9,15,10,8,12,16,12,10,6,6,17,7,10,7,11,2,13,15,9,9,3,13,10,13,8,11,13,3,7,13,2,9,3,8,4,6,5,2,3,6,4,1,5,7,5,3,1,2,2,2,4,4,4,2,2,7,4,2,0,6,5,8,5,7,4,2,0,5
"Aston Villa",1,1,2,0,0,2,2,5,2,0,1,1,2,2,1,1,0,1,1,0,2,1,1,2,1,2,0,0,0,1,1,0,0,0,2,1,1,1,3,2,0,1,0,3,2,1,1,3,2,2,0,2,2,4,2,3,0,3,1,6,1,1,2,3,2,4,0,2,1,1,2,3,0,1,0,1,7,22,7,10,10,14,16,22,24,11,5,13,17,9,9,15,8,19,11,11,11,7,8,16,18,18,4,4,14,8,14,11,9,9,12,15,8,13,4,7,3,2,5,9,3,12,8,5,2,4,8,3,3,2,0,6,2,2,6,1,3,5,5,4,1,1,6,4,2,1,3,1,9,1,3,4
"Bournemouth",1,2,1,1,3,3,2,0,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,3,2,1,0,2,1,0,0,1,2,0,4,1,0,3,1,1,3,3,1,1,2,1,0,0,0,2,2,3,1,3,0,1,1,2,4,3,1,1,1,2,3,2,2,2,1,4,5,0,1,2,2,1,13,12,10,8,13,6,13,10,11,15,12,16,9,20,6,3,11,3,12,10,3,10,6,11,16,10,12,9,6,12,4,12,7,9,10,15,11,13,3,4,7,2,6,3,5,2,2,5,6,3,2,6,3,0,2,0,4,2,2,1,3,3,6,2,4,5,4,1,0,1,3,2,4,3,3,7
"Brighton",3,1,0,0,1,0,0,3,1,3,2,1,0,1,2,2,1,0,1,2,1,0,1,1,3,1,1,0,0,2,0,0,1,1,0,1,0,2,0,1,2,4,1,0,2,0,2,2,0,3,2,2,1,2,1,1,2,0,1,1,1,3,3,1,1,1,0,1,0,3,0,3,5,1,0,1,5,16,12,6,14,16,8,17,20,8,21,6,7,12,20,13,15,9,11,16,16,9,10,21,19,10,8,24,7,9,10,8,8,12,3,10,11,14,3,4,3,2,5,3,1,6,5,4,5,2,0,5,9,4,10,2,5,6,5,2,2,8,6,2,2,8,1,5,2,2,2,2,0,2,3,4
"Burnley",3,1,1,0,1,2,2,1,1,2,0,3,3,0,1,0,1,1,0,0,1,0,2,2,0,2,3,0,1,0,1,1,1,1,1,1,2,1,0,2,1,3,1,0,2,0,2,4,3,0,0,2,4,5,0,0,1,2,2,3,1,0,0,1,0,0,1,5,0,0,1,0,1,1,0,2,10,18,13,7,7,13,10,9,13,13,6,14,11,15,4,7,7,2,6,8,20,7,8,5,15,9,16,8,21,1,9,8,9,8,6,9,23,13,4,5,4,2,1,6,3,3,4,5,0,12,5,4,2,1,4,1,0,1,1,2,5,2,2,6,10,1,8,0,5,4,4,4,2,1,8,2
"Chelsea",0,1,3,2,5,1,2,4,1,4,2,2,1,0,2,1,0,2,0,2,1,3,0,2,2,0,2,2,4,2,2,2,3,3,0,1,3,2,4,1,2,2,2,2,0,1,0,2,1,0,2,1,1,3,1,0,2,1,1,0,1,2,2,2,1,2,0,1,1,3,0,2,3,0,5,0,18,14,23,13,15,13,24,13,16,16,16,23,11,19,25,15,18,13,10,13,16,18,19,19,7,17,17,23,17,19,15,17,21,14,15,22,10,11,7,5,8,5,6,2,10,7,8,7,10,5,2,6,9,4,5,3,3,4,5,8,4,8,3,1,7,6,11,5,10,6,9,6,4,6,5,3
"Crystal Palace",0,0,2,1,0,1,2,2,0,2,0,0,1,2,1,0,1,0,2,1,1,1,2,0,0,1,1,1,1,2,0,0,0,2,0,0,0,1,0,1,1,0,4,1,0,1,2,2,2,2,2,0,0,0,1,1,1,1,1,1,2,2,1,3,0,0,0,0,4,1,3,3,2,2,2,1,6,6,5,22,11,13,15,7,7,10,12,3,16,7,7,3,11,16,13,5,12,6,5,6,13,10,18,12,10,7,3,17,7,13,9,13,7,13,2,4,3,5,6,4,3,4,2,4,3,1,6,2,2,0,4,4,4,2,3,3,3,0,3,2,9,3,3,2,0,4,1,4,5,5,3,2
"Everton",0,1,0,3,1,0,1,0,2,2,1,2,0,1,2,3,1,0,1,2,1,1,1,2,3,3,2,1,0,0,1,2,0,1,0,1,1,1,0,0,2,2,3,2,3,1,0,3,1,1,2,2,5,1,1,0,0,1,2,0,1,2,2,1,3,1,4,0,0,1,1,1,3,1,0,3,10,12,12,15,14,16,12,11,19,10,7,24,18,11,12,13,8,9,21,22,7,14,11,17,12,14,17,16,3,9,12,7,11,11,6,9,5,13,3,2,1,6,5,3,8,2,10,6,3,5,7,3,4,7,3,0,5,9,2,6,3,8,5,8,5,5,1,3,5,2,3,4,2,1,2,5
"Leicester",0,1,2,3,0,2,5,1,2,9,2,2,2,2,2,4,1,1,0,2,3,1,1,4,2,0,0,0,4,1,0,1,3,1,1,2,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0,1,0,1,1,3,4,1,0,2,2,1,2,0,1,1,0,1,0,2,0,1,4,0,3,2,15,12,10,13,9,16,13,2,19,25,14,19,19,16,12,23,18,5,3,13,17,5,18,19,14,9,10,19,15,15,11,15,15,13,13,15,24,14,1,3,2,5,3,7,5,1,3,15,5,7,9,6,6,8,5,2,0,8,10,5,8,8,4,3,3,4,7,2,2,3,4,5,5,7,6,3
"Liverpool",4,2,3,3,3,2,1,2,1,2,2,3,2,2,5,3,2,4,1,2,1,2,2,2,4,1,3,0,2,0,4,0,2,3,1,1,5,3,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,4,0,1,1,2,3,1,15,15,25,15,21,6,16,18,10,21,25,12,12,15,11,21,16,15,10,19,13,16,13,13,16,17,25,7,14,10,21,11,6,19,23,24,10,14,7,6,5,7,9,3,4,8,4,13,6,5,4,7,5,9,6,6,3,7,7,5,6,5,9,6,7,1,6,3,7,3,4,8,9,8,7,6
