"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man City",5,2,3,4,2,8,3,0,2,3,2,1,2,2,4,1,3,3,2,2,2,6,2,1,0,2,1,0,3,5,1,4,0,5,5,2,4,5,0,2,1,0,3,0,1,2,0,0,1,3,1,2,1,2,0,1,3,0,1,1,2,0,2,0,0,2,0,0,2,0,1,0,0,1,0,0,14,30,19,15,25,28,20,18,21,25,26,18,15,24,17,22,14,23,7,16,16,22,25,18,18,20,18,7,20,19,11,14,26,23,26,8,26,31,9,10,5,6,8,11,9,2,10,9,4,3,4,9,8,5,7,12,3,4,7,12,6,5,5,7,7,2,12,7,2,6,6,9,8,4,10,10
"Man United",4,1,1,1,1,0,1,0,1,3,0,3,3,2,2,2,1,0,4,2,0,4,0,0,0,2,3,1,2,1,3,3,5,3,2,2,1,2,0,1,2,1,0,2,1,1,1,1,1,1,3,2,1,1,1,2,1,0,2,0,2,2,0,0,0,1,0,1,0,0,2,0,2,0,1,0,11,9,22,21,10,9,16,12,7,21,15,21,11,16,12,11,24,17,22,14,10,13,9,24,15,9,21,14,12,12,15,12,19,14,8,17,11,7,5,2,3,8,5,3,4,3,2,11,4,11,5,6,7,7,8,8,10,5,4,6,4,7,5,3,9,5,6,6,6,6,10,6,4,5,4,3
"Newcastle",0,1,1,1,1,0,0,1,0,1,3,2,0,2,2,2,0,1,1,1,0,1,1,2,0,0,0,0,1,3,1,4,2,0,1,1,0,1,1,3,0,1,3,0,5,0,1,1,2,1,2,2,0,1,1,0,4,2,3,1,0,2,0,4,1,0,0,0,1,1,2,5,2,3,0,3,9,10,8,13,8,11,3,12,5,13,12,20,11,6,6,12,9,8,7,20,5,5,7,8,15,10,8,21,14,12,13,12,11,6,8,22,12,3,2,3,3,5,1,4,0,2,0,2,9,9,5,3,4,6,0,3,2,5,2,1,2,2,5,2,2,4,7,8,3,7,4,1,4,6,1,2
"Norwich",1,3,2,0,3,0,0,1,0,1,0,0,2,2,1,1,1,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,3,2,2,2,2,5,0,3,2,2,0,2,2,2,1,2,1,2,1,4,0,2,0,1,3,0,1,3,1,4,1,2,4,1,2,5,12,15,6,8,7,11,10,21,10,10,7,17,13,15,10,14,10,13,16,5,15,8,16,12,19,5,6,11,12,9,9,8,12,12,11,2,6,5,5,8,5,3,3,2,3,5,1,3,0,5,5,8,3,4,3,7,6,2,4,3,5,2,4,1,4,6,5,1,1,2,1,3,2,0,2,4
"Sheffield United",1,1,1,2,0,2,0,0,1,1,3,1,3,1,0,2,2,1,1,0,0,1,1,0,1,2,1,1,0,0,0,3,1,1,3,0,0,1,1,0,2,2,1,0,1,0,0,1,0,1,3,1,2,1,0,0,1,2,2,0,1,1,0,1,1,0,0,3,3,1,1,0,0,2,1,3,8,15,8,8,17,2,12,9,8,10,13,14,12,9,13,9,7,7,16,8,3,13,12,4,10,16,14,10,5,7,4,7,10,7,9,5,8,5,3,3,3,2,4,1,2,3,2,4,6,4,8,4,6,3,3,2,4,0,2,3,4,1,3,6,3,4,1,1,1,5,3,3,4,1,0,3
"Southampton",0,1,2,1,1,1,1,1,1,0,1,1,2,2,2,1,0,3,2,1,1,2,2,2,0,1,2,1,0,3,0,3,1,1,2,1,2,3,3,2,0,1,0,3,2,4,1,9,2,2,2,1,1,2,1,1,0,1,0,1,3,0,4,2,0,3,1,0,2,1,0,1,2,1,0,1,11,14,12,10,11,25,14,10,14,6,3,4,21,11,14,19,11,17,5,14,12,16,11,15,17,10,28,10,6,22,12,11,8,17,9,21,16,13,3,3,4,2,7,6,6,3,5,3,3,3,6,6,5,4,2,8,3,5,3,10,5,6,4,2,9,2,3,9,3,7,4,4,5,6,8,4
"Tottenham",3,2,0,2,4,1,2,0,1,1,1,1,3,3,1,5,2,0,2,2,0,0,0,2,2,3,1,2,1,1,2,1,1,0,2,3,3,1,1,2,1,2,0,2,1,3,1,2,1,1,2,2,2,0,1,2,1,2,1,1,0,1,0,2,2,3,1,1,0,3,0,0,1,1,0,1,31,3,17,13,13,11,9,8,12,11,4,17,15,15,8,13,9,5,11,15,11,14,17,14,3,23,5,13,13,10,15,9,12,9,15,8,7,7,7,2,2,9,5,4,4,3,2,4,2,5,6,5,5,7,5,1,5,7,5,4,5,3,3,10,3,5,2,3,4,2,2,0,9,5,3,2
"Watford",0,0,1,1,2,0,0,0,1,0,1,2,0,1,0,0,0,2,1,3,2,3,0,1,2,1,0,3,0,1,0,1,0,2,2,1,0,2,3,1,3,1,2,8,2,0,1,0,2,0,3,2,2,0,2,0,1,0,1,0,0,2,3,1,3,0,1,1,1,3,3,1,1,3,4,3,11,8,23,13,31,5,14,8,7,7,12,12,15,6,4,13,8,11,5,20,9,18,15,8,11,5,7,14,10,8,10,8,7,9,17,14,2,19,3,2,3,3,7,4,5,2,2,3,3,2,4,3,1,3,2,3,2,6,3,6,2,2,2,2,2,5,4,4,4,0,3,4,5,3,0,6
"West Ham",0,1,3,2,0,2,2,1,0,1,2,0,2,1,0,1,1,1,1,4,0,1,1,0,3,0,2,3,0,0,0,3,2,0,4,3,1,1,5,1,1,0,0,0,2,2,2,1,3,3,3,0,2,3,0,2,2,0,1,1,4,2,3,2,3,1,1,2,2,2,2,1,0,1,1,1,5,8,16,18,13,8,17,9,8,12,16,7,11,5,6,11,11,10,14,14,7,12,6,7,12,3,7,14,14,7,10,10,17,21,19,10,12,10,3,3,10,8,1,6,6,4,4,4,6,4,4,4,3,4,4,2,4,7,2,6,2,4,6,0,4,7,6,2,2,4,7,5,7,4,3,1
"Wolves",0,1,1,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,3,0,1,1,3,1,0,0,3,3,0,2,1,1,0,0,3,1,2,0,0,1,1,3,5,1,0,0,1,1,1,1,1,1,0,2,2,1,2,1,2,1,2,2,0,0,0,2,0,0,0,0,2,1,0,1,0,2,8,6,17,8,11,14,6,7,4,13,25,17,17,13,13,13,18,14,20,10,16,9,8,10,14,15,19,14,11,10,10,9,10,6,14,14,11,5,2,2,2,5,4,4,2,2,1,5,8,5,7,3,7,5,5,4,8,2,4,4,4,3,3,3,6,4,1,6,2,2,1,1,7,5,5,1
