"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Newcastle",0,1,2,0,1,3,2,2,1,3,2,1,1,0,2,0,2,2,1,3,1,2,2,2,0,2,1,1,1,3,2,2,2,3,0,2,0,1,0,0,1,0,1,1,1,2,0,1,1,3,1,3,4,0,3,0,3,0,0,5,0,1,5,2,1,2,0,1,0,0,0,0,4,0,2,3,6,12,13,8,21,19,10,12,13,6,10,10,8,16,11,17,21,12,5,10,9,15,9,16,7,13,24,5,15,10,11,5,8,16,11,12,14,11,1,10,9,3,13,8,6,7,10,2,6,7,6,9,8,6,11,7,2,6,4,9,5,8,3,8,12,3,10,7,7,4,4,11,3,6,9,5
"Norwich",1,1,1,0,2,2,0,3,1,3,2,1,2,1,4,1,2,0,1,2,2,0,0,2,3,1,0,1,0,2,1,2,2,1,0,0,3,2,1,1,3,1,1,1,2,1,1,3,3,2,1,5,2,1,2,2,1,1,1,0,3,0,2,2,1,1,1,1,2,2,1,6,2,3,3,0,13,9,9,17,11,11,13,15,12,13,9,7,15,5,13,7,18,8,18,13,7,5,12,22,18,16,7,13,12,15,16,14,12,16,12,8,12,21,3,7,6,5,5,8,6,8,10,6,7,4,8,2,11,1,14,4,9,6,4,3,4,9,11,7,5,6,5,11,8,11,6,8,5,3,6,12
"QPR",0,1,0,0,3,1,0,1,1,1,2,3,1,1,0,0,2,1,0,1,0,3,2,1,2,0,1,1,3,1,2,0,3,0,1,1,1,2,4,0,2,0,0,1,6,1,0,3,3,2,2,1,1,2,3,1,1,2,1,1,2,2,3,1,1,2,2,3,1,2,0,1,0,6,0,3,13,4,19,14,17,17,17,12,8,12,18,9,13,14,6,11,17,12,6,9,15,16,3,13,25,17,22,17,10,10,10,9,16,16,12,11,21,3,7,3,9,5,12,9,10,6,3,8,9,8,4,4,2,3,9,7,3,6,9,8,3,8,13,8,10,11,5,6,8,7,8,6,5,7,12,3
"Stoke",0,1,1,1,0,1,0,2,1,1,0,2,3,1,2,2,0,0,2,2,0,1,0,0,1,2,1,0,1,1,0,2,1,0,1,1,0,2,0,1,0,0,4,1,2,0,3,3,5,3,1,0,1,1,3,0,2,1,0,2,2,1,2,0,0,1,1,1,2,1,1,3,1,1,1,2,6,15,7,3,9,14,11,14,5,10,9,17,8,7,10,8,2,7,12,8,3,10,8,9,12,9,11,8,8,10,6,14,7,7,6,10,8,12,3,5,1,1,5,8,6,6,2,4,6,7,5,4,7,4,0,2,3,3,1,3,3,6,4,6,7,3,2,3,2,6,3,2,4,5,1,8
"Sunderland",1,0,0,1,4,1,2,1,2,2,0,0,1,1,2,0,3,1,1,4,0,2,3,1,1,0,1,1,0,3,3,0,0,0,0,2,1,0,1,1,0,2,0,2,2,2,0,2,1,0,2,2,1,1,2,1,0,1,1,0,0,0,2,4,1,0,2,1,3,0,4,0,0,2,2,1,15,15,12,14,8,12,12,8,18,13,9,13,17,18,22,8,17,12,8,10,9,7,10,4,8,10,7,6,2,15,8,12,3,15,10,12,12,6,6,5,8,7,7,6,7,4,10,8,3,8,11,12,12,4,13,8,5,9,4,2,6,2,5,4,6,1,0,8,4,9,0,6,5,6,7,5
"Swansea",0,0,0,0,3,1,2,1,2,3,0,0,0,2,2,0,0,1,1,2,3,0,1,2,2,0,2,1,3,0,1,0,0,3,1,4,0,1,4,0,0,1,0,4,0,3,2,1,0,1,0,4,0,0,1,1,1,0,2,2,1,1,3,2,0,0,0,2,3,2,3,0,1,4,2,0,8,12,15,10,7,5,9,12,16,20,9,9,6,10,16,3,4,7,14,8,9,11,7,15,16,11,12,8,10,10,11,19,9,16,20,10,13,13,5,6,6,5,5,4,5,4,14,12,3,6,2,5,8,0,4,4,8,4,5,4,5,8,9,6,8,5,7,3,7,13,6,8,12,8,9,8
"Tottenham",0,1,2,4,2,2,2,2,3,3,2,3,3,1,1,1,2,1,1,2,1,2,3,0,5,2,1,0,1,0,3,0,1,0,2,4,1,2,3,5,0,0,1,1,2,1,1,1,0,1,0,2,0,1,0,1,0,0,1,3,1,0,0,5,3,1,1,0,1,0,2,1,0,1,1,0,20,15,17,24,14,16,11,9,22,8,20,23,25,15,16,16,19,12,20,14,22,12,20,9,18,8,18,21,24,19,15,15,13,17,19,13,21,15,12,10,11,16,7,8,8,7,13,8,9,14,16,12,12,10,8,7,14,7,10,7,13,6,9,4,9,9,18,7,10,8,9,8,8,10,10,9
"West Brom",1,1,0,1,0,0,2,2,2,0,0,2,1,1,1,2,3,0,0,0,1,2,1,1,5,4,1,0,1,1,0,3,0,1,1,0,2,2,2,2,1,0,3,0,2,0,1,2,3,1,3,1,2,1,2,0,1,1,2,1,1,2,1,0,0,2,1,3,2,0,4,0,0,0,2,3,14,6,16,14,13,8,7,17,8,10,9,16,9,15,13,13,14,7,10,8,16,15,15,18,26,18,19,6,8,14,9,9,4,15,9,13,17,12,8,4,7,9,8,5,3,11,5,6,4,9,5,10,8,6,8,3,2,2,8,6,11,11,16,13,11,3,2,6,5,6,1,10,4,7,13,8
"Wigan",1,0,2,0,1,1,0,1,0,0,1,3,2,0,2,1,0,0,2,1,0,1,1,1,2,0,0,1,1,2,2,1,1,2,1,4,1,3,1,0,0,3,3,2,2,3,1,2,3,3,1,4,1,1,0,5,2,4,1,3,3,1,1,0,2,1,1,1,0,2,0,1,2,0,0,2,18,10,13,9,9,5,14,13,12,18,13,21,7,7,7,15,15,9,10,20,7,9,10,2,10,14,14,18,20,6,13,13,11,12,9,10,19,14,11,4,10,5,4,4,9,9,5,9,7,11,4,4,4,7,10,5,6,10,4,4,6,1,6,6,8,9,6,5,11,7,8,7,5,8,9,10
"Wolves",2,2,0,0,0,1,1,0,2,1,3,1,0,2,1,1,2,1,1,1,1,2,0,2,1,2,0,0,0,1,2,1,0,0,0,4,0,2,1,0,0,2,3,2,2,2,2,3,1,2,3,1,4,2,2,1,1,2,1,3,3,1,5,2,5,2,5,2,3,2,3,0,2,4,0,3,13,17,3,10,13,11,25,13,20,9,13,4,7,15,11,10,18,6,8,9,5,13,5,14,10,7,8,14,7,10,14,9,9,12,7,15,7,10,4,7,2,6,6,6,12,10,13,2,12,1,2,10,8,5,9,4,5,5,3,9,1,6,8,6,3,7,3,6,8,5,6,8,4,9,1,7
