"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",0,0,2,1,3,3,1,2,3,5,3,2,1,4,1,0,2,1,1,1,2,1,0,7,2,5,2,2,1,3,1,1,3,1,0,1,3,3,0,2,8,0,4,0,2,1,1,3,0,1,1,0,0,1,1,1,0,2,3,2,0,1,1,2,1,1,0,0,2,0,0,2,0,1,3,2,9,10,19,18,24,23,13,20,9,13,12,20,20,16,12,12,8,23,16,17,14,12,16,20,10,21,10,21,12,20,13,12,10,18,13,17,20,12,4,6,13,8,16,14,7,11,5,8,7,14,12,10,7,8,6,17,7,10,9,6,7,11,8,13,7,13,8,12,7,7,7,8,8,10,13,8
"Aston Villa",0,3,0,2,1,1,2,1,1,2,3,0,0,0,2,0,1,0,3,0,1,3,2,1,0,0,1,1,0,2,1,1,0,0,1,0,1,0,0,1,0,2,1,1,0,4,2,2,2,2,0,1,1,2,2,0,1,2,1,2,2,2,1,0,1,0,3,4,1,1,4,0,2,0,1,2,7,9,15,7,10,8,16,8,3,10,12,5,9,7,17,16,10,10,12,10,17,11,23,13,9,10,17,19,3,9,5,7,10,12,17,8,4,9,1,6,5,3,2,4,10,6,0,5,6,1,4,3,11,8,4,4,9,2,11,5,15,8,5,3,12,8,2,5,3,3,4,7,6,5,2,5
"Blackburn",1,1,0,1,4,1,0,1,1,3,0,3,1,4,1,1,1,1,3,1,3,1,0,1,3,0,1,2,2,1,0,0,2,0,2,0,0,1,2,3,1,1,3,3,4,1,2,3,1,3,3,2,2,2,2,1,2,2,1,1,2,7,2,3,1,0,0,2,2,3,3,3,0,2,1,2,16,10,14,10,10,4,5,10,19,12,13,6,16,14,3,17,17,5,10,14,15,14,23,3,7,2,15,12,16,10,11,16,10,7,9,0,12,8,8,6,6,5,5,1,4,9,8,7,8,2,12,9,2,14,7,2,5,7,11,8,12,3,5,2,9,8,9,4,6,10,4,2,6,0,7,5
"Bolton",4,2,1,0,1,0,1,3,0,1,5,1,0,0,1,0,2,0,1,2,0,3,0,0,1,0,0,2,2,3,0,0,1,2,2,1,2,2,0,3,3,5,2,3,5,1,2,3,0,2,2,3,2,2,1,2,1,1,3,1,0,2,2,3,2,1,1,2,3,2,1,1,2,4,2,2,13,6,7,20,7,3,14,14,15,8,20,8,8,13,17,14,8,4,13,12,11,15,14,10,13,8,8,11,12,19,13,9,7,12,16,14,11,20,7,4,4,13,7,3,10,11,8,3,16,6,7,9,12,6,5,3,9,7,5,8,8,6,8,1,5,7,6,11,7,6,5,11,9,8,6,8
"Chelsea",0,2,3,2,1,4,5,3,0,3,1,1,3,3,2,1,1,1,1,2,1,0,1,3,0,3,0,1,1,0,4,2,1,0,6,0,1,2,0,1,1,1,3,1,1,1,1,5,0,2,0,0,1,1,1,1,3,1,0,0,1,3,2,0,1,0,2,0,2,1,1,0,1,2,4,1,20,22,16,16,20,15,21,7,14,12,12,18,17,21,13,10,20,24,16,15,21,19,20,19,8,25,13,21,6,10,12,19,12,13,25,17,9,18,11,12,8,8,9,7,14,5,7,10,8,5,11,13,7,5,10,15,5,10,10,9,10,10,7,16,6,11,5,5,9,10,4,7,18,6,5,6
"Everton",0,1,2,3,0,0,1,3,0,1,2,2,0,0,1,1,1,1,1,0,1,1,1,1,2,1,1,0,0,2,2,2,4,4,4,1,0,3,1,0,2,1,2,2,3,1,1,2,1,0,1,1,1,0,1,0,2,2,1,1,0,1,0,1,0,3,1,0,0,2,0,4,0,1,0,1,14,9,17,17,7,12,9,11,18,14,13,17,11,7,28,13,9,13,10,11,7,15,9,8,10,8,9,5,7,15,16,9,22,17,11,11,18,17,7,4,10,10,3,4,5,7,11,6,9,14,4,1,15,6,3,8,4,4,4,8,4,4,7,5,5,3,2,8,9,5,12,10,7,4,10,11
"Fulham",0,0,1,1,2,0,6,0,1,2,1,0,1,1,0,2,0,1,1,2,1,5,1,0,2,1,5,0,0,0,2,3,1,2,0,1,2,0,0,2,2,1,2,0,0,2,3,0,3,0,1,0,2,0,5,1,1,1,3,2,1,3,1,0,0,1,3,1,1,0,1,1,4,0,1,2,13,8,16,13,14,18,19,4,15,7,26,13,10,19,12,16,13,9,11,21,17,10,13,11,11,7,25,5,14,5,14,11,11,15,6,7,20,10,9,4,9,8,11,9,13,1,8,5,20,9,6,13,7,9,8,6,6,8,7,7,6,8,4,3,19,1,7,4,9,8,9,9,5,4,15,7
"Liverpool",1,2,3,0,0,2,2,1,1,2,0,2,1,0,1,2,0,1,3,0,0,1,3,0,1,1,0,3,2,1,0,1,3,0,3,0,4,0,1,0,1,1,4,1,0,1,1,0,0,1,1,1,0,0,0,1,1,3,0,3,0,0,2,2,1,0,3,2,2,1,2,1,0,1,1,1,11,13,17,20,5,14,15,14,25,17,18,9,17,17,21,19,18,28,15,18,13,11,23,15,9,12,9,15,18,12,9,21,16,28,15,18,23,14,4,8,9,11,2,6,9,8,15,7,10,3,9,9,15,12,10,13,7,10,5,8,14,10,6,4,5,10,11,9,6,5,12,12,9,5,13,9
"Man City",4,3,5,3,2,2,4,4,6,3,3,3,1,5,1,1,3,0,0,3,1,3,0,3,1,3,2,0,2,1,3,0,4,6,2,1,2,3,0,2,1,0,2,0,0,1,1,1,2,1,1,1,2,0,0,0,1,0,0,2,1,0,0,0,0,1,1,1,3,1,0,1,0,0,0,2,26,17,22,23,18,18,19,15,19,18,16,12,7,21,7,15,20,18,25,10,12,13,17,16,17,20,23,18,20,16,19,7,17,22,17,12,19,35,19,9,12,10,11,8,12,10,12,9,8,9,3,16,4,9,16,9,11,8,8,7,11,10,10,13,10,13,10,11,10,2,12,17,9,5,12,24
"Man United",2,3,8,5,3,1,2,1,1,1,1,1,1,1,4,2,5,5,2,0,3,2,2,3,2,2,3,2,5,1,2,2,0,4,4,0,2,1,1,0,2,0,1,1,0,1,6,0,0,0,1,0,1,0,0,0,3,3,0,1,0,3,1,1,1,0,0,0,0,0,1,0,4,1,0,0,11,27,25,13,12,13,17,10,12,7,15,13,23,11,22,19,14,17,26,6,19,9,11,14,11,11,6,20,22,19,14,24,8,24,20,4,26,17,5,21,15,9,7,9,9,3,8,6,9,7,13,5,18,12,12,9,13,6,9,5,7,10,6,9,5,9,18,16,6,14,3,16,11,2,18,9
