"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Arsenal","AwayW","HomeW","AwayL","HomeD","AwayD","HomeW","AwayD","HomeW","AwayL","HomeD","HomeD","AwayL","HomeD","AwayD","HomeL","AwayW","HomeL","AwayD","AwayD","HomeL","HomeW","AwayD","HomeD","AwayD","AwayD","HomeW","HomeW","HomeW","AwayL","AwayL","AwayW","HomeW","AwayW","HomeD","AwayL","HomeW","AwayL","HomeW","3","3","0","1","1","3","1","3","0","1","1","0","1","1","0","3","0","1","1","0","3","1","1","1","1","3","3","3","0","0","3","3","3","1","0","3","0","3"
"Aston Villa","AwayL","HomeL","HomeW","AwayL","HomeD","AwayL","HomeD","AwayW","HomeW","AwayL","HomeL","AwayL","HomeW","AwayD","AwayL","HomeL","AwayL","HomeL","HomeW","AwayL","AwayW","HomeL","AwayD","HomeW","AwayL","HomeL","AwayL","AwayL","HomeD","HomeL","AwayD","HomeL","AwayL","HomeL","HomeW","AwayD","HomeW","AwayD","0","0","3","0","1","0","1","3","3","0","0","0","3","1","0","0","0","0","3","0","3","0","1","3","0","0","0","0","1","0","1","0","0","0","3","1","3","1"
"Bournemouth","HomeD","AwayW","HomeL","AwayL","HomeW","AwayW","HomeD","AwayL","HomeD","AwayD","HomeW","AwayL","HomeL","AwayL","AwayL","HomeL","AwayW","HomeL","HomeD","AwayL","AwayL","HomeL","AwayL","HomeW","HomeW","AwayL","AwayL","HomeD","AwayL","HomeL","AwayL","HomeL","AwayL","HomeD","HomeW","AwayL","HomeL","AwayW","1","3","0","0","3","3","1","0","1","1","3","0","0","0","0","0","3","0","1","0","0","0","0","3","3","0","0","1","0","0","0","0","0","1","3","0","0","3"
"Brighton","AwayW","HomeD","HomeL","AwayL","HomeD","AwayD","AwayL","HomeW","AwayL","HomeW","HomeW","AwayL","HomeL","AwayL","AwayW","HomeD","AwayD","HomeL","AwayL","HomeW","HomeD","AwayL","HomeD","AwayL","AwayD","HomeD","AwayD","HomeL","AwayD","HomeW","AwayD","HomeL","AwayW","HomeL","HomeL","AwayD","HomeD","AwayW","3","1","0","0","1","1","0","3","0","3","3","0","0","0","3","1","1","0","0","3","1","0","1","0","1","1","1","0","1","3","1","0","3","0","0","1","1","3"
"Burnley","HomeW","AwayL","AwayD","HomeL","AwayD","HomeW","AwayD","HomeW","AwayL","HomeL","AwayL","HomeW","AwayW","HomeL","HomeL","AwayL","HomeW","AwayW","AwayL","HomeL","HomeL","AwayL","HomeW","AwayW","HomeD","AwayW","HomeW","AwayD","HomeD","AwayL","HomeW","AwayW","HomeD","AwayW","AwayD","HomeD","AwayW","HomeL","3","0","1","0","1","3","1","3","0","0","0","3","3","0","0","0","3","3","0","0","0","0","3","3","1","3","3","1","1","0","3","3","1","3","1","1","3","0"
"Chelsea","AwayL","HomeD","AwayW","HomeD","AwayW","HomeL","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayL","HomeL","HomeW","AwayL","HomeL","AwayW","HomeL","AwayW","AwayD","HomeW","AwayL","HomeD","AwayD","HomeL","HomeW","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayW","AwayL","HomeW","AwayL","HomeW","0","1","3","1","3","0","3","3","3","3","3","3","0","0","3","0","0","3","0","3","1","3","0","1","1","0","3","1","3","3","3","0","3","3","0","3","0","3"
"Crystal Palace","HomeD","AwayL","AwayW","HomeW","AwayL","HomeD","HomeW","AwayW","HomeL","AwayD","HomeL","AwayL","HomeL","AwayW","HomeW","AwayD","HomeD","AwayL","HomeW","AwayD","AwayD","HomeD","AwayD","HomeL","HomeL","AwayL","HomeW","AwayW","HomeW","AwayW","AwayL","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeD","1","0","3","3","0","1","3","3","0","1","0","0","0","3","3","1","1","0","3","1","1","1","1","0","0","0","3","3","3","3","0","0","0","0","0","0","0","1"
"Everton","AwayD","HomeW","AwayL","HomeW","AwayL","HomeL","HomeL","AwayL","HomeW","AwayL","HomeD","AwayW","HomeL","AwayL","AwayL","HomeW","AwayD","HomeD","HomeW","AwayW","AwayL","HomeW","AwayD","HomeD","AwayW","HomeW","AwayL","HomeD","AwayL","HomeD","AwayW","HomeW","AwayL","HomeD","AwayL","HomeD","AwayW","HomeL","1","3","0","3","0","0","0","0","3","0","1","3","0","0","0","3","1","1","3","3","0","3","1","1","3","3","0","1","0","1","3","3","0","1","0","1","3","0"
"Leicester","HomeD","AwayD","AwayW","HomeW","AwayL","HomeW","HomeW","AwayL","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayW","HomeD","AwayL","HomeL","AwayW","AwayW","HomeL","AwayL","HomeW","HomeD","AwayD","HomeL","AwayL","HomeW","AwayD","HomeD","AwayL","HomeW","AwayD","AwayL","HomeW","AwayL","HomeL","1","1","3","3","0","3","3","0","3","3","3","3","3","3","3","3","1","0","0","3","3","0","0","3","1","1","0","0","3","1","1","0","3","1","0","3","0","0"
"Liverpool","HomeW","AwayW","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayD","HomeW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","HomeW","HomeW","AwayW","HomeW","AwayW","AwayW","HomeW","AwayW","HomeW","AwayL","HomeW","AwayD","HomeW","AwayL","HomeW","AwayW","HomeD","AwayL","HomeW","AwayW","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0","3","1","3","0","3","3","1","0","3","3"
