"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man City",2,1,2,5,6,5,1,7,3,3,3,2,2,2,2,2,4,4,4,1,0,3,3,3,3,1,5,3,1,2,3,2,3,5,4,0,3,1,0,1,1,0,0,0,0,2,0,2,1,0,1,1,1,1,0,1,0,0,0,1,4,1,0,1,1,0,0,0,1,3,1,0,1,0,1,0,14,19,19,13,28,25,17,20,15,15,9,12,14,26,24,14,23,20,14,22,15,17,11,21,19,20,19,9,13,17,18,20,17,19,19,15,19,13,4,6,8,7,10,9,6,11,10,5,5,4,5,12,8,7,10,11,5,6,4,7,4,9,10,7,11,5,3,6,4,6,6,12,7,2,7,2
"Man United",4,4,2,2,4,1,4,0,1,1,0,4,1,4,3,1,1,2,2,2,0,2,3,1,0,2,0,2,3,2,2,3,0,2,2,0,0,1,0,0,0,2,0,0,0,0,2,0,1,1,0,2,1,2,0,1,2,2,0,0,0,0,2,0,1,1,2,1,0,2,1,0,1,1,0,0,22,17,22,18,16,9,18,6,9,11,10,16,15,15,8,8,9,8,19,23,15,21,20,12,6,16,13,10,17,5,11,5,14,13,17,16,16,7,6,8,7,8,7,4,7,1,3,3,2,7,4,7,4,5,2,3,6,6,3,6,9,2,3,7,6,5,8,2,5,4,4,4,3,3,6,1
"Newcastle",0,0,3,1,2,0,1,2,1,0,0,1,0,2,1,2,0,0,3,0,0,1,1,1,1,1,1,2,0,3,1,2,2,0,0,1,0,3,2,1,0,0,1,1,1,2,0,1,1,4,3,2,3,3,1,1,2,1,0,0,1,3,1,1,0,2,2,0,0,1,1,1,1,2,1,0,6,13,16,16,14,17,8,19,7,12,16,12,12,14,8,10,16,10,11,6,11,14,12,6,14,11,10,15,7,7,18,8,8,9,17,9,14,16,3,5,8,8,3,5,5,5,3,5,4,5,2,4,2,4,4,2,4,2,2,6,4,4,4,8,3,4,2,5,3,4,4,2,2,1,3,6
"Southampton",0,3,0,0,1,0,1,2,1,1,0,0,4,1,1,1,1,0,1,2,0,1,2,1,1,3,0,1,0,0,0,2,2,0,2,1,1,0,0,2,0,2,0,1,2,2,0,1,1,3,1,2,1,1,4,1,1,5,0,2,2,1,1,2,2,1,0,3,3,3,3,0,1,1,0,1,29,14,6,9,13,14,21,12,20,6,13,5,17,7,15,6,12,6,12,16,8,10,10,10,18,13,6,13,18,6,9,15,10,6,14,11,13,8,2,5,3,1,4,4,3,2,6,1,3,0,5,2,4,3,4,2,6,6,3,3,4,4,3,5,4,6,6,2,0,8,7,2,6,5,8,3
"Stoke",0,1,1,2,1,0,2,2,1,1,2,2,1,0,2,1,0,0,3,1,0,0,0,2,0,1,1,1,0,0,1,0,1,1,1,0,1,2,1,0,1,2,2,4,1,7,2,0,2,2,2,3,1,5,1,3,1,1,5,1,3,0,0,2,1,1,0,2,2,3,2,1,1,0,2,1,9,11,16,10,13,13,17,5,10,6,11,13,9,10,10,4,14,17,9,15,1,11,11,11,11,13,15,6,12,3,9,8,10,11,8,5,7,8,1,4,2,5,4,2,6,1,2,2,7,6,3,1,3,3,7,0,5,7,1,4,5,6,4,4,3,2,3,0,4,2,4,7,3,1,2,5
"Swansea",0,0,2,0,0,1,0,2,1,1,0,0,0,0,1,1,0,1,1,0,2,0,1,1,3,1,1,1,4,0,0,1,1,0,0,0,0,1,0,4,0,1,0,2,1,0,2,2,1,2,0,1,2,0,4,3,1,5,1,2,1,0,1,1,0,4,1,0,2,1,1,5,1,1,1,2,4,6,7,10,4,10,6,7,19,4,12,13,10,2,10,18,7,8,7,7,9,8,8,3,12,3,12,11,9,0,3,7,17,4,10,12,11,26,0,1,3,4,0,3,1,3,4,2,2,1,1,0,3,3,3,3,2,4,4,1,5,2,4,1,4,1,8,0,2,1,7,1,3,3,3,11
"Tottenham",2,1,1,3,0,3,4,1,4,0,1,0,1,1,1,5,2,1,3,5,2,1,4,1,2,2,1,1,2,4,3,2,1,1,2,0,1,5,0,2,1,0,0,2,0,0,1,1,0,2,1,2,1,1,0,4,0,2,0,1,0,1,0,2,0,0,0,1,1,1,3,1,0,1,0,4,18,18,28,15,26,15,14,18,14,13,12,14,24,18,8,20,25,7,18,16,12,31,20,17,22,13,18,14,15,12,12,15,8,16,13,18,11,14,6,6,5,6,8,5,7,6,6,4,2,4,5,6,2,11,8,2,8,7,5,8,10,2,6,6,6,4,7,8,7,4,3,6,3,5,7,6
"Watford",3,2,0,2,0,2,2,2,2,0,2,2,3,2,1,0,1,1,0,2,1,1,2,0,0,4,0,1,1,0,0,2,1,0,0,0,2,0,3,0,0,0,6,1,2,1,4,1,3,0,0,4,1,1,2,4,1,1,2,3,2,2,0,1,2,0,0,3,5,2,2,1,0,2,1,1,9,19,8,12,7,8,15,11,16,13,11,17,12,12,6,11,7,13,13,11,9,7,16,11,12,21,11,13,15,11,4,16,14,4,14,13,11,7,4,7,0,3,1,4,3,2,5,0,3,7,4,3,2,2,2,3,1,1,4,4,4,3,2,8,4,5,4,4,1,5,5,2,4,5,8,3
"West Brom",1,1,1,1,0,0,2,1,0,2,0,0,1,2,0,0,0,1,1,0,1,1,2,1,0,2,0,1,0,1,1,1,1,1,2,1,1,0,0,0,1,3,0,2,2,1,1,3,1,4,1,2,0,1,0,2,3,0,1,2,0,1,3,3,3,2,1,4,2,2,1,0,2,0,0,2,16,8,10,12,6,7,9,5,7,6,9,7,5,8,20,7,6,12,17,17,14,10,15,15,3,9,8,10,9,6,11,8,15,10,13,9,9,7,6,1,2,3,1,3,4,1,2,4,3,2,2,4,6,1,1,5,7,3,3,3,4,5,1,3,1,3,2,2,6,3,3,4,6,2,1,1
"West Ham",0,2,0,2,0,2,1,1,0,2,1,0,1,0,1,1,0,3,2,3,2,1,4,1,1,1,2,1,1,0,3,1,1,1,1,2,0,3,4,3,3,0,0,3,0,1,3,2,4,2,1,4,2,0,0,0,3,3,1,1,1,1,1,3,0,4,4,3,0,1,1,4,4,0,0,1,9,16,8,19,9,10,9,8,16,6,6,10,8,7,7,5,6,14,19,10,13,3,8,12,8,4,8,7,7,13,13,5,18,11,4,13,9,15,1,8,3,3,1,4,4,6,2,2,1,6,4,3,4,2,0,7,6,5,5,1,6,4,3,1,4,4,2,4,5,2,6,4,1,3,2,4
