"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",4,0,0,3,0,2,2,1,5,2,1,2,1,5,1,1,0,1,3,3,1,2,1,4,1,5,0,0,1,3,3,3,1,4,1,5,1,1,3,1,4,0,0,0,0,2,2,1,3,0,0,0,3,1,0,0,3,2,1,2,2,1,3,1,1,3,2,0,0,2,2,1,2,0,3,0,27,18,8,17,11,16,25,9,30,17,6,14,17,21,33,11,22,23,11,16,14,14,12,16,9,15,6,10,15,11,24,13,15,20,8,16,14,9,10,6,0,9,2,6,12,6,14,5,3,5,2,7,15,6,3,5,4,9,4,6,3,10,4,7,1,5,7,7,11,7,3,8,3,8,7,4
"Bournemouth",0,0,1,0,2,1,0,0,2,0,1,4,0,1,1,2,0,0,0,3,2,2,2,1,3,2,1,2,1,1,2,2,2,0,0,1,1,2,1,2,2,3,1,2,0,1,1,1,0,0,0,2,1,2,1,4,4,3,1,2,1,1,0,1,4,2,1,4,1,2,2,3,2,2,0,1,9,6,9,7,15,8,19,5,7,7,16,11,9,10,16,11,14,6,5,26,19,26,13,8,11,15,7,18,8,14,17,13,20,6,13,14,13,16,2,2,3,2,3,4,4,1,3,1,6,5,5,2,5,5,7,2,1,10,7,8,5,3,5,8,2,5,3,3,5,6,5,1,2,7,5,5
"Brighton",0,0,0,3,1,1,0,1,3,1,1,2,0,0,1,0,0,0,1,0,0,2,0,0,1,3,1,4,2,0,0,1,2,1,0,1,1,0,2,2,0,1,2,0,2,1,0,1,0,2,1,0,5,2,2,0,0,2,0,2,2,4,1,1,1,1,1,2,2,1,3,1,0,0,3,4,6,5,16,12,9,7,9,12,7,7,5,9,8,10,6,7,7,12,14,8,10,15,13,10,9,21,14,16,13,10,15,13,12,8,9,11,6,2,2,2,2,6,2,3,1,3,5,2,2,3,2,4,2,2,4,2,3,1,3,6,1,3,2,5,6,5,6,4,3,4,3,5,1,4,3,1
"Burnley",3,0,1,1,1,0,1,1,0,1,1,2,0,2,0,1,1,0,0,2,0,1,0,0,1,1,0,1,2,3,2,2,2,1,1,0,0,1,2,1,1,0,1,0,0,1,3,0,0,0,1,1,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,0,1,1,1,2,1,0,5,2,10,20,13,4,5,5,5,20,6,12,5,16,8,10,14,8,10,11,5,3,11,13,8,13,11,8,13,9,21,7,11,7,8,5,16,10,6,12,5,0,3,2,4,3,2,5,0,5,1,7,2,4,4,5,2,6,2,2,4,4,2,2,2,3,1,3,8,4,4,4,3,2,7,4,2,4
"Chelsea",2,2,2,2,0,4,0,1,4,1,1,4,1,1,3,0,3,1,0,2,5,2,0,4,0,1,3,1,0,2,1,1,3,2,1,1,1,0,3,1,0,1,0,0,1,2,2,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,3,4,0,2,1,1,3,1,2,1,0,0,1,3,19,9,18,16,13,7,4,15,14,18,18,11,11,21,23,19,12,24,25,25,21,19,17,14,21,7,20,14,3,27,14,23,17,16,11,12,22,6,6,2,7,6,4,4,2,5,8,5,8,7,3,10,9,2,5,8,8,8,12,6,7,10,5,3,8,7,0,11,4,6,5,5,3,4,5,2
"Crystal Palace",0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,2,3,1,2,0,2,1,1,1,1,1,0,2,1,2,1,2,3,0,5,2,2,3,1,2,1,1,5,4,1,1,2,1,2,1,0,0,2,1,0,1,3,0,1,0,4,1,1,3,1,3,2,0,2,2,2,0,0,1,0,14,4,16,23,14,5,6,14,10,19,11,16,10,10,10,24,14,13,13,16,10,11,17,9,9,21,16,5,10,9,17,6,13,15,6,15,13,11,4,1,3,5,3,0,1,5,0,9,3,7,5,4,2,8,4,6,5,2,1,4,2,5,3,6,4,3,4,2,6,3,6,8,1,9,2,5
"Everton",1,1,0,0,0,2,0,1,2,0,3,2,1,4,2,1,1,3,0,0,1,0,0,1,2,1,3,0,1,2,2,1,0,1,1,2,1,1,0,1,2,3,4,1,1,1,5,2,2,2,4,0,0,1,0,1,0,0,2,2,4,1,1,5,1,1,2,0,1,3,0,1,0,0,1,3,9,7,7,12,7,12,23,13,8,16,10,8,5,8,6,3,7,12,5,7,6,12,7,9,9,11,11,7,10,13,17,6,6,12,9,7,9,14,4,2,0,1,3,4,4,6,3,2,5,5,2,5,4,2,4,7,0,3,1,0,0,4,4,2,5,2,4,3,9,2,1,3,1,5,3,7
"Huddersfield",3,1,0,0,1,0,0,0,2,0,1,0,1,0,0,2,1,4,1,1,0,0,1,0,0,0,4,2,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,4,2,1,3,0,4,2,5,2,0,3,1,1,1,0,3,4,2,3,2,1,1,2,0,2,1,1,0,2,0,1,1,8,7,16,10,15,9,6,7,5,1,7,20,4,7,5,19,7,15,10,18,3,6,8,6,5,4,15,16,3,30,6,4,14,9,9,5,3,18,6,3,6,2,3,2,1,2,3,0,3,3,0,2,3,6,2,9,3,8,1,1,2,3,1,0,4,7,3,4,2,0,5,1,2,3,2,3
"Leicester",3,2,0,1,1,2,0,1,2,2,2,0,1,2,1,3,4,0,2,1,1,3,0,2,1,1,1,1,1,4,2,1,1,0,0,0,3,4,4,0,2,2,1,3,0,1,1,0,2,2,1,1,0,2,1,3,2,2,2,0,0,0,2,1,5,1,1,1,0,2,2,0,5,2,1,5,6,14,11,8,10,12,8,11,11,9,14,2,7,7,16,13,16,11,11,11,7,11,14,9,8,13,2,19,23,14,6,8,15,11,6,13,19,16,3,4,4,2,1,7,1,3,6,3,4,0,2,4,3,5,11,2,3,5,1,5,1,5,1,5,2,9,4,6,4,1,6,3,1,2,10,9
"Liverpool",3,1,4,0,1,3,1,0,1,3,4,3,1,3,5,1,0,4,3,5,2,2,4,0,3,2,2,4,2,1,5,2,0,3,2,0,0,4,3,0,0,5,1,2,1,0,4,0,1,0,1,0,1,1,0,0,3,0,1,1,3,1,0,2,0,1,0,2,0,1,0,0,2,0,1,0,14,23,18,10,35,23,17,19,12,16,15,21,16,14,12,23,14,21,14,22,17,19,16,21,14,9,16,21,14,14,13,16,10,20,9,20,10,22,5,13,10,3,9,6,2,5,7,8,7,8,4,7,6,3,5,7,9,9,6,5,7,4,7,3,4,12,3,2,10,6,3,7,3,2,5,11
