"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man United",4,0,0,2,1,1,2,1,3,3,1,2,2,0,0,3,3,3,1,1,2,1,2,1,2,0,2,3,0,2,0,4,4,0,4,0,3,1,1,0,1,0,4,2,1,1,2,1,0,2,2,1,1,0,1,2,0,2,0,3,0,2,2,0,0,0,3,0,3,1,0,2,0,1,1,1,15,13,10,19,14,14,13,12,19,10,5,16,8,18,8,14,21,13,7,16,16,10,17,19,31,6,14,14,13,16,10,9,8,9,25,17,18,8,7,3,4,7,3,6,6,5,5,4,2,5,3,6,4,5,8,4,3,6,5,4,5,4,9,2,5,5,1,7,4,6,4,2,11,2,7,2
"Newcastle",0,0,1,2,2,2,2,2,1,2,1,2,2,0,1,1,3,5,0,0,0,3,0,0,0,0,1,4,0,1,0,0,0,0,1,0,3,1,4,0,0,1,3,3,1,2,2,0,0,1,1,3,0,1,0,1,1,1,2,1,0,3,3,4,0,1,1,0,3,4,4,1,2,3,0,2,5,16,24,17,15,15,20,14,16,15,8,21,14,14,9,16,13,27,11,9,13,19,22,28,12,13,23,17,12,21,16,5,14,13,14,8,22,8,1,0,9,8,2,6,10,4,4,8,4,5,6,3,3,5,6,8,3,3,5,9,3,10,6,5,5,7,3,8,3,2,4,1,4,3,6,2
"Norwich",2,0,1,0,0,1,1,1,0,0,3,1,1,1,2,1,0,1,0,1,0,1,0,1,0,0,1,1,1,2,2,0,0,0,2,0,0,0,2,1,0,2,1,0,3,4,0,7,1,2,0,5,0,1,0,2,1,1,2,0,0,2,0,2,0,4,1,4,0,3,1,1,3,4,0,2,8,13,15,4,12,8,14,12,31,7,15,10,10,14,8,16,14,12,15,8,12,25,9,27,7,13,13,7,13,6,14,8,12,13,13,9,6,11,2,4,4,1,1,3,3,6,10,1,6,2,3,5,3,3,5,3,4,5,3,4,2,6,2,6,3,4,5,3,8,4,4,3,5,2,3,5
"Southampton",1,1,0,0,1,2,2,1,2,1,4,0,1,2,1,1,2,3,1,0,1,2,2,3,2,1,1,0,1,4,2,4,1,0,0,2,1,1,0,1,1,0,0,0,0,1,0,1,1,2,3,3,1,1,3,0,2,3,0,2,2,0,2,0,3,3,0,2,3,0,4,1,0,0,0,1,7,17,11,15,12,12,12,18,20,10,15,10,9,21,15,8,12,11,12,12,18,17,13,17,17,16,25,13,11,16,12,23,5,19,3,14,18,15,2,6,2,5,7,3,4,7,6,2,7,4,1,9,4,3,5,6,2,2,5,8,5,5,5,7,5,2,3,6,4,11,1,7,2,4,4,6
"Stoke",0,2,1,0,1,0,0,0,2,1,3,2,0,0,3,0,2,1,0,1,3,0,0,2,2,1,0,1,1,3,4,1,0,1,1,0,4,2,1,1,0,0,3,1,1,0,3,1,3,0,4,0,2,0,1,5,3,1,5,1,1,1,2,1,1,0,1,1,1,0,3,0,1,1,1,1,10,14,15,11,9,8,16,9,10,9,6,17,4,17,9,11,12,11,2,10,13,17,14,13,5,7,7,8,6,17,10,15,4,10,14,17,23,15,4,5,5,3,3,1,3,3,5,3,3,5,3,2,3,2,2,3,1,4,4,2,5,6,4,4,2,4,3,9,5,3,2,3,5,3,8,4
"Sunderland",0,1,1,1,0,1,1,0,2,0,1,0,0,3,1,0,0,1,2,0,4,2,1,3,0,1,0,0,1,1,1,0,2,2,4,1,2,1,1,1,3,3,3,3,2,4,1,1,0,2,0,4,2,0,0,0,2,1,1,2,0,0,2,4,0,2,2,2,5,1,2,1,0,0,0,3,20,8,10,17,7,23,6,6,8,9,5,11,7,12,11,19,18,13,21,17,10,10,16,16,7,7,19,10,12,26,8,24,11,7,21,8,10,20,3,3,2,2,0,5,2,1,4,1,2,3,1,3,4,6,4,6,9,1,6,5,6,5,3,3,2,2,4,7,4,6,3,3,7,1,4,4
"Swansea",1,0,2,2,2,1,0,4,0,0,3,2,0,3,1,1,1,0,1,2,0,1,2,0,3,1,3,1,1,2,2,3,0,0,2,4,0,3,4,1,0,2,0,2,2,0,0,1,3,1,3,0,1,1,2,1,1,3,2,3,0,2,0,1,4,1,2,3,2,0,1,1,1,1,1,1,17,7,12,17,15,10,17,14,10,10,17,21,9,13,11,10,13,8,17,15,13,13,14,20,17,13,14,7,15,21,8,16,12,7,10,11,12,8,6,5,4,8,7,3,7,6,5,3,6,5,4,5,2,2,3,1,3,4,2,3,7,0,6,3,5,5,4,7,2,7,2,4,2,8,3,4
"Tottenham",1,1,0,2,1,1,0,2,1,0,0,0,2,2,2,0,3,1,3,2,2,3,1,1,1,4,0,1,0,0,3,0,5,3,3,1,0,3,0,0,1,0,0,1,3,0,0,0,1,6,2,1,1,5,2,1,0,1,0,1,5,1,0,0,1,0,4,1,2,4,1,3,1,0,2,0,17,19,14,23,29,12,14,13,15,16,31,13,10,18,22,9,13,20,20,9,10,11,4,19,8,15,9,15,6,17,15,15,29,20,14,16,12,12,2,5,4,7,12,4,4,6,6,6,14,5,4,5,5,0,3,3,7,4,4,5,2,3,2,8,2,6,2,2,6,4,11,8,5,4,3,6
"West Brom",0,0,0,1,3,2,1,0,1,2,2,2,1,2,0,0,1,1,3,1,0,1,3,1,1,1,1,0,2,0,3,1,3,1,1,0,0,1,1,0,2,1,0,1,1,0,4,0,2,2,2,3,2,1,1,1,3,0,1,1,4,1,3,1,1,3,1,2,3,0,3,3,0,1,2,2,11,7,10,12,13,12,12,12,15,9,11,11,14,12,26,12,14,7,22,13,4,14,12,12,16,12,16,14,13,17,16,8,6,10,19,11,13,17,1,2,1,4,4,4,4,5,3,4,3,4,1,1,12,2,3,4,7,4,2,6,4,4,6,1,5,3,4,4,6,5,5,3,6,1,3,4
"West Ham",2,0,0,0,2,0,3,1,0,0,1,0,3,0,1,0,1,1,3,1,2,1,0,2,2,2,3,0,1,0,2,2,1,1,0,0,2,0,0,0,1,0,3,1,0,3,0,0,3,3,0,1,4,0,3,3,3,2,0,3,0,0,0,0,1,1,3,2,1,1,2,3,1,1,0,2,18,6,9,6,9,18,16,11,15,17,12,8,23,11,8,11,4,12,16,11,10,11,1,11,10,12,10,6,8,10,9,11,11,12,13,9,20,3,4,1,0,1,1,5,5,2,4,4,4,1,12,2,1,2,1,5,6,3,3,2,1,4,2,7,5,1,2,1,3,6,1,2,4,3,8,0
