"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Man United",3,2,1,1,1,4,1,0,0,0,3,1,1,1,1,2,2,3,2,2,1,1,0,3,2,1,3,0,1,3,2,2,0,1,0,1,0,2,1,0,0,2,3,1,1,0,4,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,2,2,0,0,11,12,29,14,15,16,24,7,16,37,9,12,17,10,15,16,10,26,32,13,9,25,15,15,22,20,14,18,18,18,9,12,3,12,10,8,11,9,7,5,9,3,2,7,9,1,5,11,3,5,8,2,5,6,5,9,12,6,3,8,6,9,11,7,6,3,3,9,3,6,1,6,4,2,1,2
"Middlesbrough",1,2,0,1,1,1,1,0,0,2,1,0,2,1,0,0,3,0,1,0,0,1,1,0,0,0,0,1,0,2,0,1,0,1,2,0,1,0,1,1,0,2,3,2,1,1,0,0,1,1,2,0,1,3,0,1,2,0,0,3,1,1,0,1,2,3,0,4,0,2,4,0,2,3,2,3,12,8,7,12,7,6,9,10,11,10,5,12,6,16,6,8,10,8,9,9,5,11,11,8,9,11,8,10,8,12,12,13,5,6,14,2,14,9,2,3,2,4,0,2,3,3,4,3,3,1,2,4,2,3,4,2,2,1,1,2,3,0,3,4,2,3,1,4,5,5,2,2,6,1,3,3
"Southampton",1,0,1,1,1,3,0,3,1,0,1,0,1,0,1,0,3,1,1,0,0,3,1,1,4,4,1,0,3,1,0,2,0,0,0,2,0,0,1,2,1,2,0,0,0,1,1,2,2,0,0,3,0,0,1,4,2,3,1,0,2,3,0,3,2,0,1,0,3,4,0,0,2,1,0,1,24,13,16,11,19,18,11,34,6,9,19,3,17,17,14,15,14,9,10,12,20,20,10,21,15,20,8,14,25,10,8,12,11,4,14,14,17,14,6,1,7,5,6,9,5,14,2,1,7,0,7,3,3,4,8,2,1,3,5,7,2,7,8,11,3,4,9,3,1,4,2,0,3,4,6,6
"Stoke",1,1,0,0,1,1,1,2,2,3,1,0,1,2,1,0,2,1,2,2,3,1,1,0,1,0,2,0,1,0,0,1,3,0,0,2,1,1,1,4,1,4,4,1,1,0,0,1,1,1,0,0,3,0,2,4,4,0,1,1,1,1,0,4,0,0,2,2,1,2,1,2,0,2,4,0,12,8,8,15,11,12,7,18,12,17,12,14,14,10,12,5,16,6,5,17,14,6,14,12,7,5,13,5,5,10,15,9,14,9,19,14,10,14,1,3,1,2,4,2,6,6,6,4,4,6,1,4,5,3,7,2,2,5,6,1,7,2,4,3,8,2,1,2,2,4,4,3,4,3,4,3
"Sunderland",1,1,1,0,0,2,1,0,0,1,2,3,0,2,0,0,1,1,1,2,1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,1,2,2,1,3,1,3,1,2,1,4,1,0,2,1,3,1,0,3,4,2,3,2,0,0,4,2,2,0,1,2,3,2,1,1,0,2,2,5,7,18,5,11,6,11,7,11,10,3,9,11,6,22,11,8,12,7,11,10,14,9,3,10,6,10,11,14,11,15,9,14,10,17,12,13,6,7,3,5,2,2,2,4,2,1,2,1,4,4,1,6,2,3,4,4,3,5,3,3,1,7,1,1,3,5,3,3,4,4,4,5,5,4,2,3
"Swansea",1,0,1,2,0,1,1,2,0,1,1,1,5,0,3,1,0,1,0,2,0,3,2,1,2,1,3,1,0,0,1,0,0,2,1,1,2,2,0,2,2,2,1,3,2,3,0,3,3,1,4,5,0,3,3,4,3,1,4,2,1,2,0,3,2,2,2,0,3,1,1,0,1,0,0,1,17,13,9,6,9,13,8,13,11,14,6,5,18,1,14,8,14,14,14,11,12,6,11,4,10,3,23,11,10,15,4,4,13,10,12,9,3,12,9,3,3,2,3,5,3,6,5,6,1,3,9,0,5,4,2,7,5,4,3,3,5,2,4,2,10,3,1,3,1,1,4,6,4,4,3,2
"Tottenham",1,1,1,4,1,2,2,1,0,1,1,3,1,5,0,3,2,4,4,2,4,2,0,1,0,4,3,2,2,3,4,4,1,2,0,2,6,7,1,0,1,0,0,1,0,1,0,1,1,2,2,0,1,0,1,1,1,0,0,2,0,0,2,0,2,1,0,1,0,0,0,0,1,1,1,1,13,20,11,20,31,19,13,20,16,22,10,14,12,28,12,27,30,17,19,9,21,6,14,17,7,21,20,12,19,18,19,24,18,20,11,14,26,19,4,5,4,8,9,5,7,8,4,5,3,6,6,15,4,9,9,5,6,2,11,2,3,5,2,9,7,6,7,8,6,14,4,11,5,7,12,14
"Watford",1,1,1,4,3,0,2,1,0,1,1,2,0,1,3,0,0,1,1,0,0,2,2,2,0,1,3,0,1,2,0,1,0,0,0,0,3,0,1,2,3,2,1,2,2,0,0,0,6,1,1,3,2,2,1,1,4,2,0,2,1,1,2,1,4,1,0,0,4,0,2,1,3,1,4,5,5,6,14,13,10,12,17,4,10,22,11,10,11,17,11,5,9,9,6,9,12,10,10,16,9,9,16,6,23,9,8,15,13,9,14,14,9,6,1,2,6,8,5,3,7,2,2,0,8,3,2,5,6,2,4,3,2,2,5,3,6,7,3,1,4,2,10,2,2,7,2,2,7,2,3,3
"West Brom",1,1,0,0,4,1,1,1,1,0,2,4,1,3,0,3,0,0,2,3,0,2,1,1,2,2,0,0,3,0,0,0,0,0,2,0,1,1,0,2,0,1,2,1,1,1,2,4,1,0,1,1,1,1,2,1,1,1,4,0,1,0,2,1,2,3,1,0,2,1,1,1,2,1,3,2,13,11,13,12,8,9,17,8,6,9,11,16,11,11,6,13,10,3,7,8,3,14,16,16,8,13,11,5,12,3,18,17,7,16,11,7,5,16,3,4,2,2,6,3,7,4,1,1,5,6,2,3,1,4,1,1,3,5,0,5,5,4,3,4,1,2,8,1,2,6,2,4,3,2,2,5
"West Ham",1,1,1,2,2,0,1,1,1,0,1,2,1,1,2,1,1,4,0,0,3,3,0,3,2,1,1,2,2,1,0,1,2,0,0,1,0,2,2,0,3,4,4,3,1,0,0,2,1,3,1,5,2,0,0,1,1,2,0,1,4,1,2,1,2,3,3,2,3,0,2,0,0,0,4,1,7,15,9,19,23,13,19,12,20,13,9,11,6,10,7,20,18,14,25,8,14,13,6,6,16,13,11,15,20,12,7,14,7,15,12,13,10,14,3,2,2,4,5,1,2,4,3,3,2,3,2,3,3,7,6,7,5,2,3,5,1,4,4,2,2,7,7,4,2,6,3,3,4,5,3,4
