"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",3,0,3,2,4,3,1,3,0,4,1,1,3,5,3,1,1,1,2,3,4,2,1,1,2,1,1,2,3,0,2,1,0,2,2,4,2,3,4,0,1,1,1,0,0,2,0,1,1,1,1,1,1,2,2,0,0,3,0,1,2,3,0,3,3,2,0,3,1,0,2,0,0,1,0,1,9,13,10,17,24,14,18,16,9,21,15,5,16,19,21,9,6,26,22,14,14,24,20,9,17,7,11,8,21,11,12,12,12,9,11,10,36,17,5,4,7,2,9,5,3,6,5,7,2,1,3,10,6,3,1,11,7,4,6,8,5,5,7,3,2,3,8,3,4,5,4,4,4,6,13,9
"Bournemouth",1,0,1,1,0,1,2,6,0,0,1,1,1,4,2,1,1,0,3,3,1,2,0,3,0,1,1,3,2,0,2,1,0,4,1,2,2,1,3,1,1,0,4,0,2,1,0,2,2,0,3,3,3,0,3,3,0,3,3,2,2,6,2,2,1,2,0,0,2,3,4,0,0,2,1,1,9,8,10,12,6,12,11,22,8,15,22,9,9,12,17,9,10,7,11,12,8,15,10,18,5,12,3,21,12,12,7,12,5,20,15,12,18,10,3,5,3,5,2,1,2,10,1,3,7,2,3,8,4,3,5,3,6,6,6,5,2,8,1,4,1,9,6,3,2,1,1,10,7,2,6,4
"Burnley",0,2,0,1,0,2,0,1,2,0,3,0,1,0,3,0,1,1,4,1,1,1,1,1,1,1,2,1,0,0,1,0,1,0,2,2,1,1,1,0,3,1,3,0,1,3,1,0,2,4,2,2,2,1,2,0,1,2,0,2,0,2,1,1,3,2,0,2,0,0,3,2,0,2,2,2,10,3,6,13,7,13,10,6,9,7,14,5,10,14,16,8,5,6,16,11,9,13,24,11,6,10,6,11,17,13,7,7,13,8,9,14,14,9,3,2,0,2,2,4,1,1,3,1,7,2,5,4,7,2,2,4,6,3,3,7,3,7,4,3,4,1,3,2,3,2,6,0,3,4,3,1
"Chelsea",2,2,3,2,1,0,2,3,4,2,5,1,2,3,1,1,1,3,4,0,3,2,1,3,1,3,2,2,1,2,3,0,4,3,3,1,4,5,1,1,0,2,2,3,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,1,1,1,1,1,2,1,1,2,2,0,0,0,3,1,16,13,22,28,12,9,22,16,14,13,21,13,9,10,12,19,13,14,18,11,8,9,8,13,13,16,9,20,24,10,15,5,17,11,21,24,24,28,6,4,10,7,4,2,9,6,6,7,9,3,5,4,2,6,6,4,7,2,3,5,2,6,2,5,4,7,11,4,5,0,7,5,7,5,9,8
"Crystal Palace",0,0,1,2,4,3,1,0,1,2,2,1,4,3,3,1,0,1,0,1,0,0,2,0,0,1,2,1,2,1,3,2,2,0,0,0,4,0,1,1,1,1,1,2,1,1,3,4,3,2,5,0,3,2,1,1,2,2,3,1,0,4,1,0,0,0,1,3,0,2,1,1,2,5,0,2,14,10,24,12,14,20,10,12,23,7,16,9,12,9,14,6,6,10,7,7,10,8,11,21,6,15,10,7,8,17,17,15,7,6,15,5,12,6,4,2,5,4,8,4,2,3,7,6,5,2,4,4,6,3,2,4,4,3,1,2,4,9,1,3,4,0,3,3,6,4,3,1,5,2,4,1
"Everton",1,2,1,3,3,0,1,1,1,2,0,1,0,1,2,2,0,2,2,3,4,1,1,6,0,2,2,3,4,1,1,4,3,0,0,0,1,1,1,1,0,0,1,1,1,1,2,0,5,1,1,1,3,1,1,0,2,0,0,0,1,3,0,0,3,0,0,3,1,2,1,0,3,1,0,3,12,13,21,20,11,13,13,3,20,17,1,14,13,13,11,14,6,8,20,17,6,16,14,15,7,20,8,16,14,9,11,12,29,4,12,8,15,22,6,7,9,9,6,2,3,2,8,6,0,6,1,6,4,4,1,3,7,6,4,8,5,10,3,8,4,5,8,4,4,7,7,0,4,2,6,7
"Hull",2,2,0,1,1,1,0,1,0,0,2,0,1,0,3,0,0,0,2,1,3,0,0,2,0,1,1,2,0,2,4,1,1,2,0,0,0,1,1,0,1,1,4,5,2,6,2,1,1,3,1,1,3,3,1,3,2,3,1,2,0,0,2,1,3,1,4,1,2,3,3,0,0,2,4,7,14,12,8,11,6,2,8,11,9,8,6,17,10,6,15,10,16,10,13,17,14,9,6,7,9,15,10,15,6,7,17,6,14,8,9,16,9,10,5,4,2,3,2,1,3,4,2,2,2,7,4,2,6,5,5,3,4,6,3,4,2,4,4,1,4,7,0,3,5,1,3,3,1,6,0,4
"Leicester",1,0,2,1,3,1,0,0,3,1,1,1,2,1,4,0,2,0,1,0,0,0,0,0,0,3,3,3,2,2,2,2,0,1,3,1,1,1,2,0,1,4,0,4,0,3,1,1,2,2,2,2,2,1,2,2,0,0,3,3,1,3,2,1,1,2,0,0,4,2,1,0,0,2,6,1,18,8,13,12,14,10,9,5,17,6,5,10,11,17,10,12,14,7,12,10,7,11,13,11,9,13,17,11,23,19,6,6,7,6,11,9,12,21,5,1,6,3,6,3,1,0,4,1,2,2,3,5,6,4,8,2,4,4,2,2,5,1,1,7,5,5,10,8,4,2,3,1,5,4,5,5
"Liverpool",4,0,1,4,2,5,2,0,2,4,6,0,2,3,2,3,1,4,1,2,1,2,1,0,2,1,3,2,1,3,2,2,1,1,1,0,4,3,3,2,1,1,1,1,1,0,1,2,1,0,0,4,2,0,0,1,0,2,1,3,1,2,0,3,1,1,1,1,2,1,0,2,0,0,0,0,16,26,13,17,13,32,18,9,21,17,28,15,27,10,18,15,11,20,5,21,13,16,7,22,17,17,18,10,13,10,20,14,15,14,12,17,26,25,7,5,3,11,5,12,6,3,7,10,17,2,7,3,3,4,4,6,1,15,4,5,3,5,9,7,7,3,4,6,8,4,2,1,8,8,11,10
"Man City",2,4,3,2,4,3,0,1,1,4,1,2,2,1,2,2,2,3,0,2,0,2,4,2,2,2,0,1,2,1,3,3,0,2,5,2,3,5,1,1,1,1,0,1,2,1,1,0,1,1,1,3,4,0,1,0,1,1,4,2,0,1,0,0,0,1,2,2,1,0,0,2,0,1,1,0,16,12,22,18,20,18,12,19,14,21,25,10,21,14,19,13,14,16,9,14,13,17,11,17,17,14,12,13,14,17,23,18,19,22,26,17,21,15,4,6,5,6,12,4,6,8,3,8,7,4,5,5,4,7,5,6,2,3,5,7,4,5,5,7,1,3,5,7,7,5,6,4,12,5,10,9
