"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Arsenal",0,2,0,1,2,0,5,3,3,2,3,1,1,1,3,2,2,0,2,1,3,0,0,0,2,2,2,1,2,2,4,3,1,2,0,1,2,4,2,1,0,0,0,2,2,0,0,1,0,1,2,1,1,0,1,4,0,0,3,0,1,0,0,1,3,2,2,0,0,3,1,0,0,0,2,0,22,20,19,22,29,9,26,12,17,20,15,10,11,12,16,8,8,7,13,16,14,8,9,21,10,24,13,18,10,11,19,11,21,16,20,14,5,16,6,7,5,9,12,2,12,5,6,5,5,4,3,3,7,4,5,4,6,3,5,3,1,11,5,6,5,4,4,3,12,6,6,7,7,3,2,7
"Aston Villa",1,0,1,2,2,0,2,0,0,1,1,0,0,2,1,0,1,1,0,1,1,1,0,0,2,0,1,1,0,0,0,0,1,0,2,2,0,0,0,1,2,2,3,1,3,1,2,2,3,0,4,3,1,2,1,1,2,3,0,1,0,2,0,6,2,3,4,2,1,4,2,1,4,3,0,4,7,5,11,21,11,13,10,13,8,9,13,3,10,12,9,18,10,5,6,8,13,14,15,6,10,6,5,14,2,11,12,15,6,7,16,7,2,5,3,1,2,6,4,3,4,2,1,3,2,0,3,6,2,2,7,8,3,3,3,5,4,2,3,1,1,5,1,2,2,4,1,1,7,2,0,2
"Bournemouth",0,0,4,1,1,2,1,1,1,1,0,0,2,3,1,2,2,0,0,0,1,3,1,2,0,1,0,2,3,3,0,0,2,1,1,1,1,1,1,1,3,1,3,0,2,1,5,5,2,1,2,3,0,1,1,0,2,0,3,0,1,1,2,3,0,0,1,2,3,4,1,2,4,2,1,3,11,13,15,5,7,15,11,12,5,11,16,20,16,19,15,11,16,10,10,9,11,15,15,8,17,11,11,9,16,12,2,11,12,18,13,16,12,7,2,2,7,2,2,5,6,6,1,3,2,5,4,10,5,5,7,4,3,0,4,8,5,4,4,2,3,4,5,4,0,2,3,5,4,2,4,0
"Chelsea",2,0,3,1,1,2,2,1,2,1,1,0,1,0,0,1,3,2,0,3,2,3,1,0,1,5,2,2,1,2,4,0,0,4,2,2,1,1,2,3,2,2,3,0,2,3,0,2,3,1,0,0,1,2,1,2,0,0,2,3,0,0,1,1,1,1,1,2,0,1,3,1,2,3,1,1,11,10,15,26,15,22,16,10,9,8,8,19,21,5,19,11,17,17,8,10,14,14,12,12,16,15,16,10,20,22,11,8,11,16,13,9,13,17,3,3,5,9,2,7,4,3,3,4,2,4,7,1,6,5,7,2,3,4,2,7,6,4,5,5,4,2,7,5,8,2,4,4,5,8,7,4
"Crystal Palace",3,1,2,2,0,0,1,2,1,0,0,2,0,5,1,1,2,0,0,0,0,0,1,1,1,1,2,2,1,0,2,1,0,1,0,0,2,1,1,2,1,1,1,1,0,0,3,1,0,1,1,1,1,0,1,0,0,3,1,4,3,2,1,2,3,2,2,1,2,0,0,1,2,1,1,4,11,11,16,13,10,12,16,21,6,9,10,9,19,19,14,12,12,8,10,8,9,9,11,14,12,14,15,13,14,12,12,13,18,7,5,9,17,16,7,4,6,6,2,4,3,8,1,4,5,4,7,8,5,5,3,0,2,4,1,3,3,3,2,7,2,5,4,4,5,6,6,2,0,3,4,4
"Everton",2,3,0,0,3,0,3,1,0,1,6,1,4,3,1,1,2,1,3,1,0,3,1,3,3,0,3,2,0,0,1,0,1,0,2,1,0,3,2,0,2,0,1,0,2,1,3,2,2,1,0,3,1,1,3,0,4,1,0,3,2,0,0,1,1,3,2,1,1,0,1,4,1,3,3,0,10,10,10,8,14,17,12,14,12,10,15,13,16,11,19,15,13,20,15,12,7,9,20,18,14,34,10,15,8,7,12,9,7,3,12,9,17,15,5,4,1,3,9,2,4,4,3,5,8,4,9,6,4,3,5,7,3,3,2,4,2,7,6,6,7,8,2,1,7,5,2,0,5,5,6,8
"Leicester",4,2,1,1,3,2,2,2,2,1,3,2,3,1,3,2,3,0,0,0,1,1,3,2,3,1,1,2,1,1,1,1,2,2,4,1,3,1,2,1,1,1,2,2,5,1,2,0,2,1,0,1,0,1,2,1,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,2,0,1,1,1,19,11,13,4,21,12,16,16,26,12,13,12,18,7,16,9,10,7,11,16,10,12,15,13,14,7,13,22,14,10,8,11,17,6,18,14,32,18,8,6,2,2,6,5,7,5,7,3,5,6,7,3,5,5,5,3,4,2,2,5,5,6,7,3,3,5,7,1,3,4,7,2,9,3,8,5
"Liverpool",1,1,0,0,1,1,3,1,0,1,3,1,4,1,0,2,0,1,1,0,3,0,5,0,2,6,3,2,2,1,4,2,4,2,1,2,1,1,0,0,0,3,3,1,2,1,0,1,1,2,1,0,2,2,3,0,0,2,3,1,4,2,2,0,0,1,3,1,1,1,0,2,3,0,1,1,8,18,15,13,8,23,21,13,12,15,16,22,14,10,10,28,12,25,17,23,22,19,13,14,16,11,11,19,18,15,14,19,37,13,11,19,28,7,3,2,8,1,4,7,12,4,3,2,7,4,9,2,1,8,4,4,6,2,6,4,7,2,5,9,7,5,9,7,6,6,13,4,3,5,9,3
"Man City",3,3,2,2,1,1,1,6,5,0,2,0,1,3,0,2,1,4,0,2,0,4,2,1,1,1,0,4,0,0,4,2,3,1,4,2,2,1,0,0,0,0,0,2,4,1,1,0,1,0,4,1,2,1,2,1,0,1,0,0,2,0,3,2,3,0,0,1,0,1,0,1,0,4,2,1,19,18,16,18,21,27,22,23,15,6,21,13,11,16,11,13,20,19,21,16,22,17,16,6,22,19,4,22,15,26,15,13,11,9,11,6,14,18,7,8,9,5,7,8,8,11,11,1,5,3,3,9,4,5,6,9,5,5,5,4,3,2,4,4,2,9,3,2,7,4,8,5,6,5,3,5
"Man United",1,1,0,1,3,3,3,0,3,0,0,2,2,1,0,1,1,0,0,2,3,1,0,3,1,1,3,1,0,1,1,0,1,2,1,1,2,3,0,0,0,2,1,2,0,3,0,0,0,0,1,1,0,2,2,2,0,1,3,0,1,0,1,2,2,0,1,0,0,3,0,0,1,0,3,1,9,9,20,11,9,10,12,9,10,6,5,13,13,10,21,11,11,11,12,19,12,7,8,15,17,12,7,14,7,5,10,5,13,16,21,15,3,12,1,2,8,4,3,3,7,5,7,1,1,3,6,2,1,5,2,6,2,6,4,1,1,5,7,6,5,3,1,3,2,1,4,10,6,2,2,5
