"Club","M1GoalsScored","M2GoalsScored","M3GoalsScored","M4GoalsScored","M5GoalsScored","M6GoalsScored","M7GoalsScored","M8GoalsScored","M9GoalsScored","M10GoalsScored","M11GoalsScored","M12GoalsScored","M13GoalsScored","M14GoalsScored","M15GoalsScored","M16GoalsScored","M17GoalsScored","M18GoalsScored","M19GoalsScored","M20GoalsScored","M21GoalsScored","M22GoalsScored","M23GoalsScored","M24GoalsScored","M25GoalsScored","M26GoalsScored","M27GoalsScored","M28GoalsScored","M29GoalsScored","M30GoalsScored","M31GoalsScored","M32GoalsScored","M33GoalsScored","M34GoalsScored","M35GoalsScored","M36GoalsScored","M37GoalsScored","M38GoalsScored","M1GoalsConceded","M2GoalsConceded","M3GoalsConceded","M4GoalsConceded","M5GoalsConceded","M6GoalsConceded","M7GoalsConceded","M8GoalsConceded","M9GoalsConceded","M10GoalsConceded","M11GoalsConceded","M12GoalsConceded","M13GoalsConceded","M14GoalsConceded","M15GoalsConceded","M16GoalsConceded","M17GoalsConceded","M18GoalsConceded","M19GoalsConceded","M20GoalsConceded","M21GoalsConceded","M22GoalsConceded","M23GoalsConceded","M24GoalsConceded","M25GoalsConceded","M26GoalsConceded","M27GoalsConceded","M28GoalsConceded","M29GoalsConceded","M30GoalsConceded","M31GoalsConceded","M32GoalsConceded","M33GoalsConceded","M34GoalsConceded","M35GoalsConceded","M36GoalsConceded","M37GoalsConceded","M38GoalsConceded","M1Shots","M2Shots","M3Shots","M4Shots","M5Shots","M6Shots","M7Shots","M8Shots","M9Shots","M10Shots","M11Shots","M12Shots","M13Shots","M14Shots","M15Shots","M16Shots","M17Shots","M18Shots","M19Shots","M20Shots","M21Shots","M22Shots","M23Shots","M24Shots","M25Shots","M26Shots","M27Shots","M28Shots","M29Shots","M30Shots","M31Shots","M32Shots","M33Shots","M34Shots","M35Shots","M36Shots","M37Shots","M38Shots","M1ShotsOnTarget","M2ShotsOnTarget","M3ShotsOnTarget","M4ShotsOnTarget","M5ShotsOnTarget","M6ShotsOnTarget","M7ShotsOnTarget","M8ShotsOnTarget","M9ShotsOnTarget","M10ShotsOnTarget","M11ShotsOnTarget","M12ShotsOnTarget","M13ShotsOnTarget","M14ShotsOnTarget","M15ShotsOnTarget","M16ShotsOnTarget","M17ShotsOnTarget","M18ShotsOnTarget","M19ShotsOnTarget","M20ShotsOnTarget","M21ShotsOnTarget","M22ShotsOnTarget","M23ShotsOnTarget","M24ShotsOnTarget","M25ShotsOnTarget","M26ShotsOnTarget","M27ShotsOnTarget","M28ShotsOnTarget","M29ShotsOnTarget","M30ShotsOnTarget","M31ShotsOnTarget","M32ShotsOnTarget","M33ShotsOnTarget","M34ShotsOnTarget","M35ShotsOnTarget","M36ShotsOnTarget","M37ShotsOnTarget","M38ShotsOnTarget"
"Newcastle",2,0,0,0,0,1,2,1,6,0,0,1,0,1,2,2,1,0,0,0,3,2,1,0,1,1,0,1,0,1,2,1,3,1,2,1,0,5,2,2,0,1,2,2,2,6,2,3,0,0,3,5,0,1,1,1,1,1,3,1,2,3,0,5,1,3,1,1,3,3,0,1,2,0,0,1,9,4,7,1,14,15,11,6,11,21,15,2,9,7,6,8,8,10,7,15,14,23,11,7,19,10,5,14,13,17,13,5,12,5,6,10,9,19,4,2,0,0,4,5,5,4,6,8,6,1,1,2,1,4,4,1,2,6,6,10,2,3,7,4,3,3,2,8,5,3,7,3,3,4,3,10
"Norwich",1,3,1,0,3,1,2,1,2,0,1,1,0,1,0,1,2,0,2,1,1,0,4,0,0,2,0,1,0,0,1,3,0,0,0,0,4,0,3,1,1,3,1,1,2,2,6,1,2,0,1,1,2,1,1,3,0,0,3,3,5,3,2,2,1,2,1,0,0,2,1,3,1,1,2,3,17,19,21,6,12,7,16,17,18,16,5,9,4,7,6,9,6,11,9,10,5,10,6,10,12,13,9,13,8,5,7,13,13,19,12,8,18,10,6,6,7,1,4,2,7,2,6,3,3,5,2,2,1,2,4,3,4,1,2,3,5,2,4,3,1,2,3,0,1,6,4,6,3,2,6,2
"Southampton",2,0,0,3,0,2,3,3,2,1,2,1,0,1,1,0,0,4,1,0,2,3,1,0,1,1,1,0,1,2,3,0,3,1,4,4,2,4,2,3,0,0,0,3,1,1,2,1,0,0,1,3,1,1,2,0,2,1,0,0,0,0,0,0,2,2,1,1,2,1,1,1,2,2,1,1,15,17,14,23,14,15,18,13,14,8,11,11,16,12,23,15,11,15,15,10,15,9,7,14,8,13,7,6,16,11,16,10,20,18,17,14,10,18,5,4,5,8,4,8,7,5,6,3,2,4,1,8,5,3,4,5,4,4,7,5,2,3,2,5,2,1,5,4,5,2,6,4,7,7,2,5
"Stoke",0,2,1,0,0,2,2,1,1,0,0,1,1,0,2,0,1,2,4,1,3,0,0,0,0,3,2,1,1,1,2,2,1,0,0,1,1,2,1,2,1,1,2,2,1,0,0,2,0,0,0,2,0,0,2,0,3,2,1,0,3,3,3,1,1,0,1,2,1,2,4,4,4,1,2,1,7,16,6,13,9,11,8,12,9,12,9,8,16,7,7,12,26,13,8,10,14,14,3,10,11,11,11,9,16,13,9,12,10,12,14,11,12,7,1,7,1,5,4,4,5,5,2,1,2,2,4,3,4,3,5,3,5,3,4,6,2,0,3,6,3,2,5,2,6,5,3,2,2,3,3,4
"Sunderland",2,1,1,2,0,0,0,2,0,3,2,0,1,2,1,0,1,1,0,3,4,1,1,0,2,2,0,2,1,1,0,0,3,0,1,3,3,2,4,3,1,2,1,2,3,2,1,0,6,1,0,0,3,1,3,4,1,1,2,4,1,1,2,1,1,2,1,1,0,2,0,0,1,2,0,2,10,6,10,7,12,9,9,12,9,9,17,9,12,18,11,14,11,11,8,13,7,5,10,11,7,21,13,17,11,14,22,15,8,12,14,15,14,6,5,2,2,3,2,2,4,3,2,3,9,3,4,5,4,2,3,3,3,6,5,2,5,2,2,5,4,6,3,4,7,1,3,3,5,4,8,4
"Swansea",2,2,1,2,0,0,1,2,0,2,0,0,2,0,0,1,0,1,0,1,2,1,2,1,1,0,1,2,1,2,1,2,1,0,0,3,4,1,2,0,1,1,1,0,3,2,1,1,3,1,2,1,3,2,0,0,0,2,4,0,1,1,1,1,2,1,0,3,0,2,0,3,4,1,1,1,18,19,20,9,8,12,11,11,14,11,8,8,11,8,10,13,21,7,5,9,10,10,7,18,19,13,10,11,10,12,10,12,12,11,9,18,13,4,10,6,9,4,3,3,4,2,2,4,3,0,4,0,2,7,2,2,3,4,5,2,5,4,3,2,4,2,3,4,1,3,6,1,1,9,6,1
"Tottenham",0,2,1,0,1,1,4,2,0,5,3,1,4,0,1,1,2,3,2,1,0,4,3,3,1,2,2,0,2,2,3,1,3,4,1,2,1,1,1,2,1,0,0,0,1,2,0,1,1,1,1,0,1,2,0,0,1,1,1,1,1,0,0,1,1,1,2,0,0,1,0,0,1,2,2,5,9,13,19,20,15,22,15,19,13,14,17,14,22,9,9,20,13,15,10,19,21,26,24,17,26,6,34,9,26,19,17,18,16,23,19,16,20,17,4,7,6,6,4,6,8,11,4,9,6,4,12,4,3,8,6,10,3,4,5,11,11,6,9,3,14,2,11,8,8,5,8,6,2,5,6,5
"Watford",2,0,0,0,1,2,0,1,0,2,2,1,1,3,2,1,3,2,1,1,0,0,2,0,0,2,0,0,0,1,0,1,1,1,3,0,2,2,2,0,0,2,0,1,1,1,3,0,0,2,2,2,0,0,0,2,2,2,2,1,1,0,1,1,0,1,1,2,4,1,0,3,2,2,4,2,11,16,13,7,17,13,15,11,8,13,20,8,10,14,14,13,6,12,9,11,4,13,13,12,3,10,14,13,11,9,6,13,11,7,18,14,12,21,5,5,0,0,6,4,2,2,1,3,5,4,5,6,7,6,5,3,1,3,1,2,5,3,0,3,1,3,4,4,2,5,4,4,6,3,7,6
"West Brom",0,0,2,1,0,1,2,0,1,1,2,0,2,1,1,2,1,0,1,2,2,0,0,1,0,1,3,2,1,0,0,1,0,0,1,0,1,1,3,0,3,0,0,0,3,2,0,0,3,2,1,1,1,2,2,1,0,1,2,3,0,1,1,0,2,2,0,1,0,2,1,2,1,3,1,1,9,6,15,15,8,11,9,7,8,7,14,4,4,7,11,4,6,9,22,16,13,9,4,17,7,5,11,11,9,10,3,13,16,8,16,15,12,13,2,0,6,5,1,6,4,2,1,4,6,0,1,3,4,2,2,3,5,5,6,0,0,7,0,1,5,3,2,0,0,2,4,1,3,5,4,1
"West Ham",2,1,3,3,2,2,2,2,3,2,0,1,1,1,0,0,0,1,2,2,3,1,2,2,0,2,1,1,3,2,2,3,2,3,3,1,3,1,0,2,4,0,0,1,2,2,1,1,2,1,4,1,0,0,0,1,1,0,1,2,2,0,1,2,0,0,2,2,2,3,2,1,0,4,2,2,8,10,10,12,17,6,19,20,24,12,8,16,10,17,9,22,11,10,13,18,10,10,10,25,18,11,9,14,17,13,18,19,19,18,8,25,20,20,4,3,4,5,3,3,7,6,4,5,3,5,4,6,2,9,2,4,5,10,5,3,3,6,2,6,3,3,5,6,6,7,4,7,4,7,6,7
